"DATE_","ID","TSECS_BST","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","Dist_to_colony_km"
2010-05-26,1,47761,55.99521,-3.17412,"TS","Travelling",0.0128,1.35066407987
2010-05-26,1,47762,55.99532,-3.17408,"TS","Travelling",0.0128,1.36280970746
2010-05-26,1,47763,55.99543,-3.17403,"TS","Travelling",0.01262,1.37496748918
2010-05-26,1,47764,55.99555,-3.17401,"TS","Travelling",0.01262,1.38724392721
2010-05-26,1,47765,55.99566,-3.17398,"TS","Travelling",0.01262,1.39952673194
2010-05-26,1,47766,55.99577,-3.17395,"TS","Travelling",0.01262,1.41181574713
2010-05-26,1,47767,55.99588,-3.17392,"TS","Travelling",0.01262,1.42411079228
2010-05-26,1,47768,55.996,-3.1739,"TS","Travelling",0.01262,1.43641172223
2010-05-26,1,47769,55.99611,-3.17387,"TS","Travelling",0.01262,1.44871839699
2010-05-26,1,47770,55.99622,-3.17384,"TS","Travelling",0.01262,1.46103065095
2010-05-26,1,47771,55.99633,-3.17382,"TS","Travelling",0.01348,1.47334836535
2010-05-26,1,47772,55.99645,-3.17377,"TS","Travelling",0.01348,1.48627408317
2010-05-26,1,47773,55.99657,-3.17373,"TS","Travelling",0.01348,1.49920984406
2010-05-26,1,47774,55.99669,-3.17369,"TS","Travelling",0.01348,1.51215538115
2010-05-26,1,47775,55.99681,-3.17364,"TS","Travelling",0.01348,1.52511044476
2010-05-26,1,47776,55.99693,-3.1736,"TS","Travelling",0.01348,1.5380747953
2010-05-26,1,47777,55.99705,-3.17355,"TS","Travelling",0.01348,1.55104820799
2010-05-26,1,47778,55.99716,-3.17351,"TS","Travelling",0.01348,1.56403043924
2010-05-26,1,47779,55.99728,-3.17347,"TS","Travelling",0.0135,1.57702128979
2010-05-26,1,47780,55.9974,-3.17341,"TS","Travelling",0.0135,1.58971979233
2010-05-26,1,47781,55.99752,-3.17335,"TS","Travelling",0.0135,1.60243172932
2010-05-26,1,47782,55.99763,-3.17329,"TS","Travelling",0.0135,1.61515680265
2010-05-26,1,47783,55.99775,-3.17322,"TS","Travelling",0.0135,1.62789469435
2010-05-26,1,47784,55.99787,-3.17316,"TS","Travelling",0.0135,1.64064511571
2010-05-26,1,47785,55.99798,-3.1731,"TS","Travelling",0.0135,1.65340776696
2010-05-26,1,47786,55.9981,-3.17304,"TS","Travelling",0.0135,1.66618237723
2010-05-26,1,47787,55.99822,-3.17298,"TS","Travelling",0.01517,1.67896865328
2010-05-26,1,47788,55.99835,-3.17293,"TS","Travelling",0.01517,1.69364266533
2010-05-26,1,47789,55.99848,-3.17288,"TS","Travelling",0.01517,1.70832570971
2010-05-26,1,47790,55.99862,-3.17283,"TS","Travelling",0.01517,1.7230175559
2010-05-26,1,47791,55.99875,-3.17277,"TS","Travelling",0.01517,1.73771799025
2010-05-26,1,47792,55.99888,-3.17272,"TS","Travelling",0.01517,1.75242677698
2010-05-26,1,47793,55.99902,-3.17267,"TS","Travelling",0.01517,1.76714372674
2010-05-26,1,47794,55.99915,-3.17262,"TS","Travelling",0.01517,1.78186863776
2010-05-26,1,47795,55.99928,-3.17257,"TS","Travelling",0.01571,1.79660129411
2010-05-26,1,47796,55.99942,-3.17251,"TS","Travelling",0.01571,1.81179436354
2010-05-26,1,47797,55.99956,-3.17245,"TS","Travelling",0.01571,1.82699651277
2010-05-26,1,47798,55.9997,-3.17239,"TS","Travelling",0.01571,1.84220752697
2010-05-26,1,47799,55.99983,-3.17233,"TS","Travelling",0.01571,1.85742717835
2010-05-26,1,47800,55.99997,-3.17228,"TS","Travelling",0.01571,1.87265525621
2010-05-26,1,47801,56.00011,-3.17222,"TS","Travelling",0.01571,1.88789155647
2010-05-26,1,47802,56.00025,-3.17216,"TS","Travelling",0.01571,1.90313589147
2010-05-26,1,47803,56.00038,-3.1721,"TS","Travelling",0.01581,1.9183880698
2010-05-26,1,47804,56.00052,-3.17204,"TS","Travelling",0.01581,1.9336437933
2010-05-26,1,47805,56.00066,-3.17197,"TS","Travelling",0.01581,1.94890859193
2010-05-26,1,47806,56.0008,-3.17191,"TS","Travelling",0.01581,1.9641822543
2010-05-26,1,47807,56.00093,-3.17184,"TS","Travelling",0.01581,1.9794645652
2010-05-26,1,47808,56.00107,-3.17178,"TS","Travelling",0.01581,1.9947553258
2010-05-26,1,47809,56.00121,-3.17171,"TS","Travelling",0.01581,2.01005435282
2010-05-26,1,47810,56.00135,-3.17165,"TS","Travelling",0.01581,2.02536144926
2010-05-26,1,47811,56.00148,-3.17158,"TS","Travelling",0.01424,2.04067644322
2010-05-26,1,47812,56.00161,-3.17153,"TS","Travelling",0.01424,2.05460281905
2010-05-26,1,47813,56.00173,-3.17148,"TS","Travelling",0.01424,2.06853370904
2010-05-26,1,47814,56.00186,-3.17143,"TS","Travelling",0.01424,2.08246901294
