"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57040,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57041,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57042,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57043,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57044,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57045,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57046,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57047,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57048,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57049,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57050,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57051,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57052,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57053,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57054,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57055,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57056,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57057,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57058,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57059,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57060,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57061,"Foraging","Not-foraging"
