"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37271,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37272,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37273,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37274,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37275,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37276,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37277,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37278,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37279,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37280,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37281,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37282,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37283,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37284,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37285,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37286,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37287,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37288,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37289,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37290,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37291,"Not-foraging","Not-foraging"
