"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37443,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37444,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37445,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37446,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37447,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37448,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37449,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37450,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37451,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37452,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37453,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37454,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37455,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37456,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37457,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37458,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37459,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37460,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37461,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37462,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37463,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37464,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37465,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37466,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37467,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37468,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37469,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37470,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37471,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37472,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37473,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37474,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37475,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37476,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37477,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37478,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37479,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37480,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37481,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37482,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37483,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37484,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37485,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37486,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37487,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37488,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37489,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37490,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37491,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37492,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37493,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37494,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37495,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37496,"Not-foraging","Not-foraging"
