"DATE_","ID","TSECS","SPECIES","LATITUDE","LONGITUDE","CONTBEH","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2010-06-21",10,48239,"Roseate tern",55.32812,-1.5281,"DF",921.66353,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48240,"Roseate tern",55.32805,-1.52799,"DF",931.67119,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48241,"Roseate tern",55.32798,-1.52788,"DF",941.67957,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48242,"Roseate tern",55.32795,-1.52773,"DF",950.58462,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48243,"Roseate tern",55.32792,-1.52758,"DF",959.51998,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48244,"Roseate tern",55.32788,-1.52742,"DF",968.4848,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48245,"Roseate tern",55.32785,-1.52727,"DF",977.47828,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48246,"Roseate tern",55.32782,-1.52712,"DF",986.49963,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48247,"Roseate tern",55.32777,-1.52699,"DF",996.03478,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48248,"Roseate tern",55.32772,-1.52686,"DF",1005.57794,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48249,"Roseate tern",55.32767,-1.52673,"DF",1015.12889,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48250,"Roseate tern",55.32762,-1.5266,"DF",1024.68742,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48251,"Roseate tern",55.32757,-1.52647,"DF",1034.25328,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48252,"Roseate tern",55.32749,-1.52639,"DF",1043.62854,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48253,"Roseate tern",55.32742,-1.52631,"DF",1053.00603,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48254,"Roseate tern",55.32735,-1.52624,"DF",1062.3857,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48255,"Roseate tern",55.32727,-1.52616,"DF",1071.7675,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48256,"Roseate tern",55.3272,-1.52608,"DF",1081.15136,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48257,"Roseate tern",55.32711,-1.52604,"DF",1090.48536,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48258,"Roseate tern",55.32702,-1.526,"DF",1099.8372,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48259,"Roseate tern",55.32693,-1.52596,"DF",1109.20643,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48260,"Roseate tern",55.32684,-1.52592,"DF",1118.59261,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48261,"Roseate tern",55.32675,-1.52588,"DF",1127.99531,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48262,"Roseate tern",55.32667,-1.5258,"DF",1138.54225,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48263,"Roseate tern",55.32658,-1.52572,"DF",1149.09154,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48264,"Roseate tern",55.3265,-1.52563,"DF",1159.64312,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48265,"Roseate tern",55.32642,-1.52555,"DF",1170.19695,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48266,"Roseate tern",55.32633,-1.52547,"DF",1180.75294,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48267,"Roseate tern",55.3263,-1.52532,"DF",1189.14112,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48268,"Roseate tern",55.32627,-1.52517,"DF",1197.55216,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48269,"Roseate tern",55.32624,-1.52503,"DF",1205.98556,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48270,"Roseate tern",55.32621,-1.52488,"DF",1214.44087,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48271,"Roseate tern",55.32618,-1.52473,"DF",1222.91762,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48272,"Roseate tern",55.32618,-1.52457,"DF",1229.95829,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48273,"Roseate tern",55.32617,-1.52441,"DF",1237.04261,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48274,"Roseate tern",55.32616,-1.52425,"DF",1244.16985,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48275,"Roseate tern",55.32616,-1.52409,"DF",1251.33926,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48276,"Roseate tern",55.32615,-1.52393,"DF",1258.55012,"Travelling","Direct flight","Traveling"
