"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"Glas Eileanan","2011-06-20",2,"C",39662,56.49389,-5.70473,"TS","Travelling",0.01093,627.22011,1
"Glas Eileanan","2011-06-20",2,"C",39663,56.49385,-5.70457,"TS","Travelling",0.01093,638.01432,1
"Glas Eileanan","2011-06-20",2,"C",39664,56.4938,-5.70442,"TS","Travelling",0.01075,648.81415,1
"Glas Eileanan","2011-06-20",2,"C",39665,56.49375,-5.70426,"TS","Travelling",0.01075,659.42482,1
"Glas Eileanan","2011-06-20",2,"C",39666,56.49371,-5.70411,"TS","Travelling",0.01075,670.04095,1
"Glas Eileanan","2011-06-20",2,"C",39667,56.49366,-5.70396,"TS","Travelling",0.01075,680.66228,1
"Glas Eileanan","2011-06-20",2,"C",39668,56.49361,-5.7038,"TS","Travelling",0.01075,691.28859,1
"Glas Eileanan","2011-06-20",2,"C",39669,56.49357,-5.70365,"TS","Travelling",0.01112,701.91963,1
"Glas Eileanan","2011-06-20",2,"C",39670,56.49352,-5.70349,"TS","Travelling",0.01112,713.01259,1
"Glas Eileanan","2011-06-20",2,"C",39671,56.49348,-5.70332,"TS","Travelling",0.01112,724.10762,1
"Glas Eileanan","2011-06-20",2,"C",39672,56.49344,-5.70316,"TS","Travelling",0.01112,735.20461,1
"Glas Eileanan","2011-06-20",2,"C",39673,56.49339,-5.703,"TS","Travelling",0.01112,746.30347,1
"Glas Eileanan","2011-06-20",2,"C",39674,56.49335,-5.70283,"TS","Travelling",0.01082,757.40414,1
"Glas Eileanan","2011-06-20",2,"C",39675,56.49331,-5.70267,"TS","Travelling",0.01082,768.25453,1
"Glas Eileanan","2011-06-20",2,"C",39676,56.49328,-5.70251,"TS","Travelling",0.01082,779.10518,1
"Glas Eileanan","2011-06-20",2,"C",39677,56.49324,-5.70234,"TS","Travelling",0.01082,789.95607,1
"Glas Eileanan","2011-06-20",2,"C",39678,56.4932,-5.70218,"TS","Travelling",0.01082,800.80719,1
"Glas Eileanan","2011-06-20",2,"C",39679,56.49317,-5.70202,"TS","Travelling",0.01104,811.65854,1
"Glas Eileanan","2011-06-20",2,"C",39680,56.49314,-5.70184,"TS","Travelling",0.01104,822.70983,1
"Glas Eileanan","2011-06-20",2,"C",39681,56.49311,-5.70167,"TS","Travelling",0.01104,833.76199,1
"Glas Eileanan","2011-06-20",2,"C",39682,56.49309,-5.7015,"TS","Travelling",0.01104,844.81496,1
"Glas Eileanan","2011-06-20",2,"C",39683,56.49306,-5.70132,"TS","Travelling",0.01104,855.86874,1
"Glas Eileanan","2011-06-20",2,"C",39684,56.49303,-5.70115,"TS","Travelling",0.01085,866.92328,1
"Glas Eileanan","2011-06-20",2,"C",39685,56.49301,-5.70098,"TS","Travelling",0.01085,877.7851,1
"Glas Eileanan","2011-06-20",2,"C",39686,56.49298,-5.70081,"TS","Travelling",0.01085,888.64752,1
"Glas Eileanan","2011-06-20",2,"C",39687,56.49295,-5.70064,"TS","Travelling",0.01085,899.5105,1
"Glas Eileanan","2011-06-20",2,"C",39688,56.49293,-5.70047,"TS","Travelling",0.01085,910.37404,1
"Glas Eileanan","2011-06-20",2,"C",39689,56.4929,-5.7003,"TS","Travelling",0.01115,921.23809,1
"Glas Eileanan","2011-06-20",2,"C",39690,56.49288,-5.70012,"TS","Travelling",0.01115,932.36697,1
"Glas Eileanan","2011-06-20",2,"C",39691,56.49285,-5.69995,"TS","Travelling",0.01115,943.49728,1
"Glas Eileanan","2011-06-20",2,"C",39692,56.49283,-5.69977,"TS","Travelling",0.01115,954.62897,1
"Glas Eileanan","2011-06-20",2,"C",39693,56.49281,-5.69959,"TS","Travelling",0.01115,965.76201,1
"Glas Eileanan","2011-06-20",2,"C",39694,56.49278,-5.69942,"TS","Travelling",0.01095,976.89633,1
"Glas Eileanan","2011-06-20",2,"C",39695,56.49276,-5.69924,"TS","Travelling",0.01095,987.83778,1
"Glas Eileanan","2011-06-20",2,"C",39696,56.49274,-5.69907,"TS","Travelling",0.01095,998.78028,1
"Glas Eileanan","2011-06-20",2,"C",39697,56.49271,-5.6989,"TS","Travelling",0.01095,1009.72382,1
"Glas Eileanan","2011-06-20",2,"C",39698,56.49269,-5.69872,"TS","Travelling",0.01095,1020.66837,1
"Glas Eileanan","2011-06-20",2,"C",39699,56.49267,-5.69855,"TS","Travelling",0.01104,1031.61388,1
"Glas Eileanan","2011-06-20",2,"C",39700,56.49264,-5.69838,"TS","Travelling",0.01104,1042.67969,1
"Glas Eileanan","2011-06-20",2,"C",39701,56.49261,-5.6982,"TS","Travelling",0.01104,1053.74588,1
"Glas Eileanan","2011-06-20",2,"C",39702,56.49259,-5.69803,"TS","Travelling",0.01104,1064.81245,1
"Glas Eileanan","2011-06-20",2,"C",39703,56.49256,-5.69786,"TS","Travelling",0.01104,1075.87936,1
"Glas Eileanan","2011-06-20",2,"C",39704,56.49253,-5.69768,"TS","Travelling",0.01095,1086.94662,1
"Glas Eileanan","2011-06-20",2,"C",39705,56.49251,-5.69751,"TS","Travelling",0.01095,1097.89584,1
"Glas Eileanan","2011-06-20",2,"C",39706,56.49249,-5.69734,"TS","Travelling",0.01095,1108.84586,1
"Glas Eileanan","2011-06-20",2,"C",39707,56.49246,-5.69716,"TS","Travelling",0.01095,1119.79666,1
"Glas Eileanan","2011-06-20",2,"C",39708,56.49244,-5.69699,"TS","Travelling",0.01095,1130.74823,1
"Glas Eileanan","2011-06-20",2,"C",39709,56.49242,-5.69682,"TS","Travelling",0.01087,1141.70055,1
"Glas Eileanan","2011-06-20",2,"C",39710,56.4924,-5.69664,"TS","Travelling",0.01087,1152.53674,1
"Glas Eileanan","2011-06-20",2,"C",39711,56.49238,-5.69647,"TS","Travelling",0.01087,1163.37429,1
"Glas Eileanan","2011-06-20",2,"C",39712,56.49236,-5.6963,"TS","Travelling",0.01087,1174.21314,1
"Glas Eileanan","2011-06-20",2,"C",39713,56.49234,-5.69612,"TS","Travelling",0.01087,1185.05327,1
"Glas Eileanan","2011-06-20",2,"C",39714,56.49232,-5.69595,"TS","Travelling",0.01087,1195.89463,1
"Glas Eileanan","2011-06-20",2,"C",39715,56.4923,-5.69578,"TS","Travelling",0.01087,1206.73721,1
"Glas Eileanan","2011-06-20",2,"C",39716,56.49228,-5.6956,"TS","Travelling",0.01087,1217.58095,1
"Glas Eileanan","2011-06-20",2,"C",39717,56.49226,-5.69543,"TS","Travelling",0.01087,1228.42584,1
"Glas Eileanan","2011-06-20",2,"C",39718,56.49224,-5.69526,"TS","Travelling",0.01087,1239.27183,1
"Glas Eileanan","2011-06-20",2,"C",39719,56.49222,-5.69508,"TS","Travelling",0.01075,1250.11892,1
"Glas Eileanan","2011-06-20",2,"C",39720,56.49219,-5.69491,"TS","Travelling",0.01075,1260.88488,1
"Glas Eileanan","2011-06-20",2,"C",39721,56.49217,-5.69474,"TS","Travelling",0.01075,1271.65127,1
"Glas Eileanan","2011-06-20",2,"C",39722,56.49215,-5.69457,"TS","Travelling",0.01075,1282.41806,1
"Glas Eileanan","2011-06-20",2,"C",39723,56.49212,-5.6944,"TS","Travelling",0.01075,1293.18526,1
"Glas Eileanan","2011-06-20",2,"C",39724,56.4921,-5.69423,"TS","Travelling",0.01055,1303.95284,1
