"ID","TSECS","SPECIES","LONGITUDE","LATITUDE","observed_behaviour","decState","Col_obState","Col_decState"
24,42905,"C",-5.44988,56.51935,"Travelling","Travelling","blue","blue"
24,42906,"C",-5.44998,56.51928,"Travelling","Travelling","blue","blue"
24,42907,"C",-5.45008,56.51922,"Travelling","Travelling","blue","blue"
24,42908,"C",-5.45018,56.51915,"Travelling","Travelling","blue","blue"
24,42909,"C",-5.45029,56.51908,"Travelling","Travelling","blue","blue"
24,42910,"C",-5.45039,56.51901,"Travelling","Travelling","blue","blue"
24,42911,"C",-5.4505,56.51893,"Travelling","Travelling","blue","blue"
24,42912,"C",-5.4506,56.51887,"Travelling","Travelling","blue","blue"
24,42913,"C",-5.4507,56.5188,"Travelling","Travelling","blue","blue"
24,42914,"C",-5.4508,56.51873,"Travelling","Travelling","blue","blue"
24,42915,"C",-5.45092,56.51867,"Travelling","Travelling","blue","blue"
24,42916,"C",-5.45103,56.5186,"Travelling","Travelling","blue","blue"
24,42917,"C",-5.45115,56.51853,"Travelling","Travelling","blue","blue"
24,42918,"C",-5.45128,56.51849,"Travelling","Travelling","blue","blue"
24,42919,"C",-5.45141,56.51844,"Travelling","Travelling","blue","blue"
24,42920,"C",-5.45153,56.5184,"Travelling","Travelling","blue","blue"
24,42921,"C",-5.45168,56.51837,"Travelling","Travelling","blue","blue"
24,42922,"C",-5.45183,56.51833,"Travelling","Travelling","blue","blue"
24,42923,"C",-5.45198,56.5183,"Travelling","Travelling","blue","blue"
24,42924,"C",-5.45214,56.51829,"Travelling","Travelling","blue","blue"
24,42925,"C",-5.45231,56.51828,"Travelling","Travelling","blue","blue"
24,42926,"C",-5.45247,56.51827,"Travelling","Travelling","blue","blue"
24,42927,"C",-5.45262,56.51824,"Travelling","Travelling","blue","blue"
24,42928,"C",-5.45278,56.51822,"Travelling","Travelling","blue","blue"
24,42929,"C",-5.45293,56.5182,"Travelling","Travelling","blue","blue"
24,42930,"C",-5.45308,56.51817,"Travelling","Travelling","blue","blue"
24,42931,"C",-5.45323,56.51814,"Travelling","Travelling","blue","blue"
