"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36660,54.82944,-5.77336,"DF","Travelling",0.01295,0.85356,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36661,54.82956,-5.77341,"DF","Travelling",0.01295,0.86609,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36662,54.82967,-5.77345,"DF","Travelling",0.01295,0.87864,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36663,54.82978,-5.7735,"DF","Travelling",0.01063,0.8912,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36664,54.82987,-5.77357,"DF","Travelling",0.01063,0.90183,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36665,54.82996,-5.77364,"DF","Travelling",0.01063,0.91247,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36666,54.83004,-5.77371,"DF","Travelling",0.01063,0.92311,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36667,54.83013,-5.77378,"DF","Travelling",0.01063,0.93374,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36668,54.83022,-5.77385,"DF","Travelling",0.00868,0.94438,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36669,54.83028,-5.77394,"DF","Travelling",0.00868,0.95288,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36670,54.83034,-5.77402,"DF","Travelling",0.00868,0.96139,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36671,54.8304,-5.77411,"DF","Travelling",0.00868,0.9699,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36672,54.83046,-5.7742,"DF","Travelling",0.00868,0.97841,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36673,54.83052,-5.77428,"DF","Travelling",0.00905,0.98693,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36674,54.83057,-5.77439,"DF","Travelling",0.00905,0.9954,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36675,54.83062,-5.7745,"DF","Travelling",0.00905,1.00389,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36676,54.83068,-5.7746,"DF","Travelling",0.00905,1.01238,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36677,54.83073,-5.77471,"DF","Travelling",0.00905,1.02089,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36678,54.83078,-5.77482,"DF","Travelling",0.01078,1.0294,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36679,54.83084,-5.77495,"DF","Travelling",0.01078,1.03919,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36680,54.8309,-5.77509,"DF","Travelling",0.01078,1.049,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36681,54.83095,-5.77523,"DF","Travelling",0.01078,1.05883,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36682,54.83101,-5.77536,"DF","Travelling",0.01078,1.06868,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36683,54.83107,-5.7755,"DF","Travelling",0.01247,1.07855,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36684,54.83113,-5.77566,"DF","Travelling",0.01247,1.09005,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36685,54.8312,-5.77581,"DF","Travelling",0.01247,1.10156,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36686,54.83127,-5.77597,"DF","Travelling",0.01247,1.11311,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36687,54.83133,-5.77613,"DF","Travelling",0.01247,1.12467,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36688,54.8314,-5.77628,"DF","Travelling",0.01377,1.13625,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36689,54.83147,-5.77646,"DF","Travelling",0.01377,1.14904,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36690,54.83155,-5.77663,"DF","Travelling",0.01377,1.16186,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36691,54.83162,-5.7768,"DF","Travelling",0.01377,1.17471,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36692,54.83169,-5.77698,"DF","Travelling",0.01377,1.18757,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36693,54.83177,-5.77715,"DF","Travelling",0.01377,1.20045,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36694,54.83184,-5.77732,"DF","Travelling",0.01377,1.21336,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36695,54.83191,-5.7775,"DF","Travelling",0.01377,1.22628,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36696,54.83199,-5.77767,"DF","Travelling",0.01377,1.23923,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36697,54.83206,-5.77784,"DF","Travelling",0.01377,1.25219,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36698,54.83213,-5.77802,"DF","Travelling",0.01376,1.26517,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36699,54.83222,-5.77817,"DF","Travelling",0.01376,1.27868,"Incubation",0
