"DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL_km"
"2010-06-01",1,"Arctic tern",55501,56.18645,-2.54393,"TS","Travelling",0.01006,0.63336
"2010-06-01",1,"Arctic tern",55502,56.18638,-2.54382,"TS","Travelling",0.01006,0.6404
"2010-06-01",1,"Arctic tern",55503,56.18632,-2.54371,"TS","Travelling",0.01006,0.64752
"2010-06-01",1,"Arctic tern",55504,56.18625,-2.5436,"TS","Travelling",0.01006,0.65473
"2010-06-01",1,"Arctic tern",55505,56.18618,-2.54349,"TS","Travelling",0.01006,0.662
"2010-06-01",1,"Arctic tern",55506,56.18612,-2.54338,"TS","Travelling",0.01122,0.66935
"2010-06-01",1,"Arctic tern",55507,56.18606,-2.54323,"TS","Travelling",0.01122,0.67915
"2010-06-01",1,"Arctic tern",55508,56.186,-2.54308,"TS","Travelling",0.01122,0.68899
"2010-06-01",1,"Arctic tern",55509,56.18595,-2.54293,"TS","Travelling",0.01122,0.69887
"2010-06-01",1,"Arctic tern",55510,56.18589,-2.54278,"TS","Travelling",0.01122,0.7088
"2010-06-01",1,"Arctic tern",55511,56.18583,-2.54263,"TS","Travelling",0.01109,0.71876
"2010-06-01",1,"Arctic tern",55512,56.1858,-2.54247,"TS","Travelling",0.01109,0.72951
"2010-06-01",1,"Arctic tern",55513,56.18576,-2.5423,"TS","Travelling",0.01109,0.74028
"2010-06-01",1,"Arctic tern",55514,56.18572,-2.54213,"TS","Travelling",0.01109,0.75105
"2010-06-01",1,"Arctic tern",55515,56.18569,-2.54197,"TS","Travelling",0.01109,0.76184
"2010-06-01",1,"Arctic tern",55516,56.18565,-2.5418,"TS","Travelling",0.0119,0.77263
"2010-06-01",1,"Arctic tern",55517,56.18563,-2.54161,"TS","Travelling",0.0119,0.78457
"2010-06-01",1,"Arctic tern",55518,56.18562,-2.54142,"TS","Travelling",0.0119,0.7965
"2010-06-01",1,"Arctic tern",55519,56.1856,-2.54123,"TS","Travelling",0.0119,0.80844
"2010-06-01",1,"Arctic tern",55520,56.18558,-2.54104,"TS","Travelling",0.0119,0.82037
"2010-06-01",1,"Arctic tern",55521,56.18557,-2.54085,"TS","Travelling",0.01164,0.83231
"2010-06-01",1,"Arctic tern",55522,56.18555,-2.54066,"TS","Travelling",0.01164,0.84399
"2010-06-01",1,"Arctic tern",55523,56.18554,-2.54048,"TS","Travelling",0.01164,0.85567
"2010-06-01",1,"Arctic tern",55524,56.18553,-2.54029,"TS","Travelling",0.01164,0.86735
"2010-06-01",1,"Arctic tern",55525,56.18551,-2.5401,"TS","Travelling",0.01164,0.87903
"2010-06-01",1,"Arctic tern",55526,56.1855,-2.53992,"TS","Travelling",0.01163,0.8907
"2010-06-01",1,"Arctic tern",55527,56.18547,-2.53974,"TS","Travelling",0.01163,0.90223
"2010-06-01",1,"Arctic tern",55528,56.18544,-2.53956,"TS","Travelling",0.01163,0.91375
"2010-06-01",1,"Arctic tern",55529,56.18541,-2.53938,"TS","Travelling",0.01163,0.92528
"2010-06-01",1,"Arctic tern",55530,56.18538,-2.5392,"TS","Travelling",0.01163,0.93682
"2010-06-01",1,"Arctic tern",55531,56.18535,-2.53902,"TS","Travelling",0.01152,0.94835
"2010-06-01",1,"Arctic tern",55532,56.18532,-2.53884,"TS","Travelling",0.01152,0.95984
"2010-06-01",1,"Arctic tern",55533,56.1853,-2.53866,"TS","Travelling",0.01152,0.97132
"2010-06-01",1,"Arctic tern",55534,56.18527,-2.53848,"TS","Travelling",0.01152,0.98281
"2010-06-01",1,"Arctic tern",55535,56.18524,-2.5383,"TS","Travelling",0.01152,0.9943
"2010-06-01",1,"Arctic tern",55536,56.18522,-2.53812,"TS","Travelling",0.01174,1.00579
"2010-06-01",1,"Arctic tern",55537,56.18518,-2.53794,"TS","Travelling",0.01174,1.0174
"2010-06-01",1,"Arctic tern",55538,56.18515,-2.53776,"TS","Travelling",0.01174,1.02901
"2010-06-01",1,"Arctic tern",55539,56.18512,-2.53758,"TS","Travelling",0.01174,1.04063
"2010-06-01",1,"Arctic tern",55540,56.18508,-2.5374,"TS","Travelling",0.01174,1.05224
"2010-06-01",1,"Arctic tern",55541,56.18505,-2.53722,"TS","Travelling",0.01081,1.06386
"2010-06-01",1,"Arctic tern",55542,56.185,-2.53706,"TS","Travelling",0.01081,1.0741
"2010-06-01",1,"Arctic tern",55543,56.18496,-2.53691,"TS","Travelling",0.01081,1.08434
"2010-06-01",1,"Arctic tern",55544,56.18491,-2.53676,"TS","Travelling",0.01081,1.0946
"2010-06-01",1,"Arctic tern",55545,56.18486,-2.5366,"TS","Travelling",0.01081,1.10487
"2010-06-01",1,"Arctic tern",55546,56.18482,-2.53645,"TS","Travelling",0.01064,1.11515
"2010-06-01",1,"Arctic tern",55547,56.18477,-2.5363,"TS","Travelling",0.01064,1.12537
"2010-06-01",1,"Arctic tern",55548,56.18473,-2.53614,"TS","Travelling",0.01064,1.1356
"2010-06-01",1,"Arctic tern",55549,56.18469,-2.53599,"TS","Travelling",0.01064,1.14584
"2010-06-01",1,"Arctic tern",55550,56.18464,-2.53584,"TS","Travelling",0.01064,1.15609
"2010-06-01",1,"Arctic tern",55551,56.1846,-2.53568,"TS","Travelling",0.01117,1.16634
"2010-06-01",1,"Arctic tern",55552,56.18455,-2.53553,"TS","Travelling",0.01117,1.17695
