"DATE","ID","TSECS_GMT","LATITUDE","LONGITUDE","SPECIES","Continuous","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2009-06-09",6,46118,53.41626,-4.50787,"A","DF",709.86843,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46119,53.41633,-4.50786,"A","DF",717.89231,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46120,53.4164,-4.50785,"A","DF",725.91722,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46121,53.41648,-4.50783,"A","DF",735.22785,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46122,53.41657,-4.50782,"A","DF",744.5392,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46123,53.41665,-4.5078,"A","DF",753.85124,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46124,53.41673,-4.50778,"A","DF",763.23511,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46125,53.41682,-4.50776,"A","DF",772.61912,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46126,53.4169,-4.50773,"A","DF",782.00329,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46127,53.41699,-4.50772,"A","DF",791.92369,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46128,53.41708,-4.5077,"A","DF",801.84491,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46129,53.41717,-4.50768,"A","DF",811.76691,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46130,53.41726,-4.50766,"A","DF",821.75925,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46131,53.41734,-4.50764,"A","DF",831.75181,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46132,53.41743,-4.50762,"A","DF",841.74456,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46133,53.41752,-4.5076,"A","DF",851.06112,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46134,53.4176,-4.50758,"A","DF",860.37818,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46135,53.41768,-4.50757,"A","DF",869.69571,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46136,53.41777,-4.50756,"A","DF",879.55316,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46137,53.41786,-4.50754,"A","DF",889.41198,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46138,53.41795,-4.50753,"A","DF",899.27211,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46139,53.41804,-4.50753,"A","DF",909.06688,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46140,53.41813,-4.50752,"A","DF",918.86387,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46141,53.41822,-4.50752,"A","DF",928.663,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46142,53.41831,-4.50751,"A","DF",938.52921,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46143,53.41839,-4.50749,"A","DF",948.39652,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46144,53.41848,-4.50748,"A","DF",958.26489,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46145,53.41857,-4.50748,"A","DF",968.07045,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46146,53.41866,-4.50747,"A","DF",977.87787,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46147,53.41875,-4.50747,"A","DF",987.68709,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46148,53.41884,-4.50746,"A","DF",997.56046,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46149,53.41893,-4.50744,"A","DF",1007.43473,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46150,53.41902,-4.50743,"A","DF",1017.30987,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46151,53.41909,-4.50742,"A","DF",1025.96667,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46152,53.41917,-4.50741,"A","DF",1034.62397,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46153,53.41925,-4.5074,"A","DF",1043.28176,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46154,53.41933,-4.50738,"A","DF",1052.67154,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46155,53.41942,-4.50736,"A","DF",1062.06131,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46156,53.4195,-4.50733,"A","DF",1071.45109,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46157,53.41958,-4.50728,"A","DF",1080.53742,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46158,53.41966,-4.50723,"A","DF",1089.62687,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46159,53.41973,-4.50718,"A","DF",1098.71936,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46160,53.4198,-4.50714,"A","DF",1106.53336,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46161,53.41987,-4.50709,"A","DF",1114.34979,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46162,53.41993,-4.50705,"A","DF",1122.16859,"Travelling","Direct flight","Traveling"
