"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"SOUTH SHIAN","2011-06-24",24,"C",42872,56.52133,-5.4461,"TS","Travelling",0.01017,3078.76472,0
"SOUTH SHIAN","2011-06-24",24,"C",42873,56.52128,-5.44624,"TS","Travelling",0.01017,3088.18306,0
"SOUTH SHIAN","2011-06-24",24,"C",42874,56.52123,-5.44638,"TS","Travelling",0.01017,3097.6064,0
"SOUTH SHIAN","2011-06-24",24,"C",42875,56.52118,-5.44652,"TS","Travelling",0.00985,3107.03467,0
"SOUTH SHIAN","2011-06-24",24,"C",42876,56.52114,-5.44666,"TS","Travelling",0.00985,3116.35282,0
"SOUTH SHIAN","2011-06-24",24,"C",42877,56.52109,-5.44679,"TS","Travelling",0.00985,3125.67444,0
"SOUTH SHIAN","2011-06-24",24,"C",42878,56.52105,-5.44693,"TS","Travelling",0.00985,3134.99948,0
"SOUTH SHIAN","2011-06-24",24,"C",42879,56.52101,-5.44707,"TS","Travelling",0.00985,3144.32791,0
"SOUTH SHIAN","2011-06-24",24,"C",42880,56.52096,-5.44721,"TS","Travelling",0.00985,3153.65972,0
"SOUTH SHIAN","2011-06-24",24,"C",42881,56.52092,-5.44735,"TS","Travelling",0.00985,3162.99486,0
"SOUTH SHIAN","2011-06-24",24,"C",42882,56.52087,-5.44749,"TS","Travelling",0.00985,3172.33332,0
"SOUTH SHIAN","2011-06-24",24,"C",42883,56.52083,-5.44763,"TS","Travelling",0.00985,3181.67504,0
"SOUTH SHIAN","2011-06-24",24,"C",42884,56.52078,-5.44777,"TS","Travelling",0.00985,3191.02002,0
"SOUTH SHIAN","2011-06-24",24,"C",42885,56.52074,-5.44791,"TS","Travelling",0.00985,3200.36821,0
"SOUTH SHIAN","2011-06-24",24,"C",42886,56.52069,-5.44804,"TS","Travelling",0.00985,3209.71961,0
"SOUTH SHIAN","2011-06-24",24,"C",42887,56.52065,-5.44818,"TS","Travelling",0.01012,3219.07416,0
"SOUTH SHIAN","2011-06-24",24,"C",42888,56.52059,-5.44831,"TS","Travelling",0.01012,3227.7939,0
"SOUTH SHIAN","2011-06-24",24,"C",42889,56.52053,-5.44843,"TS","Travelling",0.01012,3236.52196,0
"SOUTH SHIAN","2011-06-24",24,"C",42890,56.52047,-5.44855,"TS","Travelling",0.00952,3245.25829,0
"SOUTH SHIAN","2011-06-24",24,"C",42891,56.52039,-5.44863,"TS","Travelling",0.00952,3251.91056,0
"SOUTH SHIAN","2011-06-24",24,"C",42892,56.52032,-5.44872,"TS","Travelling",0.00952,3258.5772,0
"SOUTH SHIAN","2011-06-24",24,"C",42893,56.52025,-5.4488,"TS","Travelling",0.01042,3265.25811,0
"SOUTH SHIAN","2011-06-24",24,"C",42894,56.52017,-5.44888,"TS","Travelling",0.01042,3271.87856,0
"SOUTH SHIAN","2011-06-24",24,"C",42895,56.52008,-5.44896,"TS","Travelling",0.01042,3278.51891,0
"SOUTH SHIAN","2011-06-24",24,"C",42896,56.52,-5.44903,"TS","Travelling",0.00988,3285.17907,0
"SOUTH SHIAN","2011-06-24",24,"C",42897,56.51992,-5.44911,"TS","Travelling",0.00988,3291.72452,0
"SOUTH SHIAN","2011-06-24",24,"C",42898,56.51984,-5.44919,"TS","Travelling",0.00988,3298.28669,0
"SOUTH SHIAN","2011-06-24",24,"C",42899,56.51977,-5.44927,"TS","Travelling",0.0099,3304.86548,0
"SOUTH SHIAN","2011-06-24",24,"C",42900,56.51969,-5.44936,"TS","Travelling",0.0099,3312.3225,0
"SOUTH SHIAN","2011-06-24",24,"C",42901,56.51962,-5.44946,"TS","Travelling",0.0099,3319.79244,0
"SOUTH SHIAN","2011-06-24",24,"C",42902,56.51955,-5.44955,"TS","Travelling",0.01007,3327.27524,0
"SOUTH SHIAN","2011-06-24",24,"C",42903,56.51948,-5.44966,"TS","Travelling",0.01007,3335.62778,0
"SOUTH SHIAN","2011-06-24",24,"C",42904,56.51942,-5.44977,"TS","Travelling",0.01007,3343.98996,0
"SOUTH SHIAN","2011-06-24",24,"C",42905,56.51935,-5.44988,"TS","Travelling",0.00962,3352.36169,0
"SOUTH SHIAN","2011-06-24",24,"C",42906,56.51928,-5.44998,"TS","Travelling",0.00962,3360.07791,0
"SOUTH SHIAN","2011-06-24",24,"C",42907,56.51922,-5.45008,"TS","Travelling",0.00962,3367.80408,0
"SOUTH SHIAN","2011-06-24",24,"C",42908,56.51915,-5.45018,"TS","Travelling",0.01031,3375.54013,0
"SOUTH SHIAN","2011-06-24",24,"C",42909,56.51908,-5.45029,"TS","Travelling",0.01031,3383.76591,0
"SOUTH SHIAN","2011-06-24",24,"C",42910,56.51901,-5.45039,"TS","Travelling",0.01031,3392.00326,0
"SOUTH SHIAN","2011-06-24",24,"C",42911,56.51893,-5.4505,"TS","Travelling",0.00962,3400.25213,0
"SOUTH SHIAN","2011-06-24",24,"C",42912,56.51887,-5.4506,"TS","Travelling",0.00962,3408.02967,0
"SOUTH SHIAN","2011-06-24",24,"C",42913,56.5188,-5.4507,"TS","Travelling",0.00962,3415.81675,0
"SOUTH SHIAN","2011-06-24",24,"C",42914,56.51873,-5.4508,"TS","Travelling",0.0103,3423.6133,0
"SOUTH SHIAN","2011-06-24",24,"C",42915,56.51867,-5.45092,"TS","Travelling",0.0103,3432.41292,0
"SOUTH SHIAN","2011-06-24",24,"C",42916,56.5186,-5.45103,"TS","Travelling",0.0103,3441.22106,0
"SOUTH SHIAN","2011-06-24",24,"C",42917,56.51853,-5.45115,"TS","Travelling",0.00926,3450.03766,0
"SOUTH SHIAN","2011-06-24",24,"C",42918,56.51849,-5.45128,"TS","Travelling",0.00926,3458.89794,0
"SOUTH SHIAN","2011-06-24",24,"C",42919,56.51844,-5.45141,"TS","Travelling",0.00926,3467.76049,0
"SOUTH SHIAN","2011-06-24",24,"C",42920,56.5184,-5.45153,"TS","Travelling",0.00992,3476.62532,0
"SOUTH SHIAN","2011-06-24",24,"C",42921,56.51837,-5.45168,"TS","Travelling",0.00992,3486.49978,0
"SOUTH SHIAN","2011-06-24",24,"C",42922,56.51833,-5.45183,"TS","Travelling",0.00992,3496.37468,0
"SOUTH SHIAN","2011-06-24",24,"C",42923,56.5183,-5.45198,"TS","Travelling",0.00996,3506.25003,0
"SOUTH SHIAN","2011-06-24",24,"C",42924,56.51829,-5.45214,"TS","Travelling",0.00996,3516.15521,0
"SOUTH SHIAN","2011-06-24",24,"C",42925,56.51828,-5.45231,"TS","Travelling",0.00996,3526.06089,0
"SOUTH SHIAN","2011-06-24",24,"C",42926,56.51827,-5.45247,"TS","Travelling",0.00986,3535.96707,0
"SOUTH SHIAN","2011-06-24",24,"C",42927,56.51824,-5.45262,"TS","Travelling",0.00986,3545.85739,0
"SOUTH SHIAN","2011-06-24",24,"C",42928,56.51822,-5.45278,"TS","Travelling",0.00986,3555.74771,0
"SOUTH SHIAN","2011-06-24",24,"C",42929,56.5182,-5.45293,"TS","Travelling",0.0097,3565.63804,0
"SOUTH SHIAN","2011-06-24",24,"C",42930,56.51817,-5.45308,"TS","Travelling",0.0097,3575.35498,0
"SOUTH SHIAN","2011-06-24",24,"C",42931,56.51814,-5.45323,"TS","Travelling",0.0097,3585.07204,0
"SOUTH SHIAN","2011-06-24",24,"C",42932,56.51812,-5.45338,"TS","Travelling",0.00989,3594.78922,0
"SOUTH SHIAN","2011-06-24",24,"C",42933,56.51807,-5.45352,"TS","Travelling",0.00989,3604.14634,0
"SOUTH SHIAN","2011-06-24",24,"C",42934,56.51802,-5.45365,"TS","Travelling",0.00989,3613.50649,0
"SOUTH SHIAN","2011-06-24",24,"C",42935,56.51797,-5.45378,"TS","Travelling",0.00945,3622.86961,0
"SOUTH SHIAN","2011-06-24",24,"C",42936,56.51791,-5.4539,"TS","Travelling",0.00945,3631.40441,0
"SOUTH SHIAN","2011-06-24",24,"C",42937,56.51786,-5.45402,"TS","Travelling",0.00945,3639.94392,0
"SOUTH SHIAN","2011-06-24",24,"C",42938,56.5178,-5.45413,"TS","Travelling",0.01007,3648.48809,0
"SOUTH SHIAN","2011-06-24",24,"C",42939,56.51773,-5.45424,"TS","Travelling",0.01007,3657.03094,0
"SOUTH SHIAN","2011-06-24",24,"C",42940,56.51767,-5.45436,"TS","Travelling",0.01007,3665.58171,0
"SOUTH SHIAN","2011-06-24",24,"C",42941,56.5176,-5.45447,"TS","Travelling",0.00987,3674.14034,0
"SOUTH SHIAN","2011-06-24",24,"C",42942,56.51754,-5.45458,"TS","Travelling",0.00987,3682.87169,0
"SOUTH SHIAN","2011-06-24",24,"C",42943,56.51748,-5.4547,"TS","Travelling",0.00987,3691.60893,0
"SOUTH SHIAN","2011-06-24",24,"C",42944,56.51742,-5.45482,"TS","Travelling",0.00865,3700.35201,0
"SOUTH SHIAN","2011-06-24",24,"C",42945,56.51738,-5.45494,"TS","Travelling",0.00865,3708.76338,0
"SOUTH SHIAN","2011-06-24",24,"C",42946,56.51734,-5.45506,"TS","Travelling",0.00865,3717.17599,0
"SOUTH SHIAN","2011-06-24",24,"C",42947,56.5173,-5.45518,"TS","Travelling",0.00805,3725.58985,0
"SOUTH SHIAN","2011-06-24",24,"C",42948,56.51728,-5.45531,"TS","Travelling",0.00805,3733.66479,0
"SOUTH SHIAN","2011-06-24",24,"C",42949,56.51727,-5.45544,"TS","Travelling",0.00805,3741.73978,0
"SOUTH SHIAN","2011-06-24",24,"C",42950,56.51725,-5.45557,"TS","Travelling",0.00786,3749.81479,0
"SOUTH SHIAN","2011-06-24",24,"C",42951,56.51724,-5.45569,"TS","Travelling",0.00786,3757.55603,0
"SOUTH SHIAN","2011-06-24",24,"C",42952,56.51724,-5.45582,"TS","Travelling",0.00786,3765.2979,0
"SOUTH SHIAN","2011-06-24",24,"C",42953,56.51723,-5.45595,"TS","Travelling",0.0075,3773.04037,0
"SOUTH SHIAN","2011-06-24",24,"C",42954,56.51723,-5.45607,"TS","Travelling",0.0075,3780.28795,0
"SOUTH SHIAN","2011-06-24",24,"C",42955,56.51723,-5.45619,"TS","Travelling",0.0075,3787.5366,0
"SOUTH SHIAN","2011-06-24",24,"C",42956,56.51723,-5.45632,"TS","Travelling",0.00772,3794.78633,0
"SOUTH SHIAN","2011-06-24",24,"C",42957,56.51722,-5.45644,"TS","Travelling",0.00772,3802.53273,0
"SOUTH SHIAN","2011-06-24",24,"C",42958,56.5172,-5.45656,"TS","Travelling",0.00772,3810.27915,0
"SOUTH SHIAN","2011-06-24",24,"C",42959,56.51718,-5.45668,"TS","Travelling",0.00725,3818.02558,0
"SOUTH SHIAN","2011-06-24",24,"C",42960,56.51716,-5.45679,"TS","Travelling",0.00725,3825.27819,0
"SOUTH SHIAN","2011-06-24",24,"C",42961,56.51714,-5.45691,"TS","Travelling",0.00725,3832.53089,0
"SOUTH SHIAN","2011-06-24",24,"C",42962,56.51712,-5.45702,"TS","Travelling",0.00779,3839.78367,0
"SOUTH SHIAN","2011-06-24",24,"C",42963,56.51708,-5.45712,"TS","Travelling",0.00779,3847.20435,0
"SOUTH SHIAN","2011-06-24",24,"C",42964,56.51704,-5.45723,"TS","Travelling",0.00779,3854.62658,0
"SOUTH SHIAN","2011-06-24",24,"C",42965,56.517,-5.45733,"TS","Travelling",0.00803,3862.05035,0
"SOUTH SHIAN","2011-06-24",24,"C",42966,56.51695,-5.45743,"TS","Travelling",0.00803,3869.15136,0
"SOUTH SHIAN","2011-06-24",24,"C",42967,56.5169,-5.45752,"TS","Travelling",0.00803,3876.2561,0
"SOUTH SHIAN","2011-06-24",24,"C",42968,56.51685,-5.45762,"TS","Travelling",0.00893,3883.36454,0
"SOUTH SHIAN","2011-06-24",24,"C",42969,56.51679,-5.45771,"TS","Travelling",0.00893,3890.81482,0
"SOUTH SHIAN","2011-06-24",24,"C",42970,56.51673,-5.45781,"TS","Travelling",0.00893,3898.27145,0
"SOUTH SHIAN","2011-06-24",24,"C",42971,56.51667,-5.4579,"TS","Travelling",0.00824,3905.73436,0
"SOUTH SHIAN","2011-06-24",24,"C",42972,56.51661,-5.45799,"TS","Travelling",0.00824,3912.70351,0
"SOUTH SHIAN","2011-06-24",24,"C",42973,56.51656,-5.45808,"TS","Travelling",0.00824,3919.67768,0
"SOUTH SHIAN","2011-06-24",24,"C",42974,56.5165,-5.45817,"TS","Travelling",0.009,3926.65686,0
"SOUTH SHIAN","2011-06-24",24,"C",42975,56.51643,-5.45825,"TS","Travelling",0.009,3933.65966,0
"SOUTH SHIAN","2011-06-24",24,"C",42976,56.51637,-5.45833,"TS","Travelling",0.009,3940.67069,0
"SOUTH SHIAN","2011-06-24",24,"C",42977,56.5163,-5.45842,"TS","Travelling",0.0092,3947.68991,0
"SOUTH SHIAN","2011-06-24",24,"C",42978,56.51623,-5.45851,"TS","Travelling",0.0092,3955.04514,0
"SOUTH SHIAN","2011-06-24",24,"C",42979,56.51617,-5.45859,"TS","Travelling",0.0092,3962.40821,0
"SOUTH SHIAN","2011-06-24",24,"C",42980,56.5161,-5.45868,"TS","Travelling",0.00871,3969.77905,0
"SOUTH SHIAN","2011-06-24",24,"C",42981,56.51604,-5.45877,"TS","Travelling",0.00871,3976.97908,0
"SOUTH SHIAN","2011-06-24",24,"C",42982,56.51598,-5.45886,"TS","Travelling",0.00871,3984.18525,0
"SOUTH SHIAN","2011-06-24",24,"C",42983,56.51592,-5.45895,"TS","Travelling",0.0087,3991.39754,0
"SOUTH SHIAN","2011-06-24",24,"C",42984,56.51586,-5.45905,"TS","Travelling",0.0087,3999.08948,0
"SOUTH SHIAN","2011-06-24",24,"C",42985,56.51581,-5.45915,"TS","Travelling",0.0087,4006.78567,0
"SOUTH SHIAN","2011-06-24",24,"C",42986,56.51575,-5.45925,"TS","Travelling",0.00895,4014.4861,0
"SOUTH SHIAN","2011-06-24",24,"C",42987,56.51569,-5.45936,"TS","Travelling",0.00895,4022.51755,0
"SOUTH SHIAN","2011-06-24",24,"C",42988,56.51564,-5.45946,"TS","Travelling",0.00895,4030.55299,0
"SOUTH SHIAN","2011-06-24",24,"C",42989,56.51558,-5.45957,"TS","Travelling",0.0087,4038.59239,0
"SOUTH SHIAN","2011-06-24",24,"C",42990,56.51554,-5.45968,"TS","Travelling",0.0087,4046.9207,0
"SOUTH SHIAN","2011-06-24",24,"C",42991,56.51549,-5.4598,"TS","Travelling",0.0087,4055.25066,0
"SOUTH SHIAN","2011-06-24",24,"C",42992,56.51545,-5.45992,"TS","Travelling",0.00836,4063.5823,0
"SOUTH SHIAN","2011-06-24",24,"C",42993,56.51541,-5.46003,"TS","Travelling",0.00836,4071.73055,0
"SOUTH SHIAN","2011-06-24",24,"C",42994,56.51537,-5.46015,"TS","Travelling",0.00836,4079.87978,0
"SOUTH SHIAN","2011-06-24",24,"C",42995,56.51533,-5.46027,"TS","Travelling",0.00927,4088.02998,0
"SOUTH SHIAN","2011-06-24",24,"C",42996,56.51529,-5.46039,"TS","Travelling",0.00927,4097.01946,0
"SOUTH SHIAN","2011-06-24",24,"C",42997,56.51524,-5.46052,"TS","Travelling",0.00927,4106.01032,0
"SOUTH SHIAN","2011-06-24",24,"C",42998,56.5152,-5.46065,"TS","Travelling",0.00867,4115.00253,0
"SOUTH SHIAN","2011-06-24",24,"C",42999,56.51517,-5.46078,"TS","Travelling",0.00867,4123.62241,0
"SOUTH SHIAN","2011-06-24",24,"C",43000,56.51513,-5.46091,"TS","Travelling",0.00867,4132.24264,0
"SOUTH SHIAN","2011-06-24",24,"C",43001,56.5151,-5.46103,"TS","Travelling",0.00874,4140.86321,0
"SOUTH SHIAN","2011-06-24",24,"C",43002,56.51507,-5.46117,"TS","Travelling",0.00874,4149.62288,0
"SOUTH SHIAN","2011-06-24",24,"C",43003,56.51504,-5.4613,"TS","Travelling",0.00874,4158.38262,0
"SOUTH SHIAN","2011-06-24",24,"C",43004,56.51502,-5.46143,"TS","Travelling",0.00895,4167.14242,0
"SOUTH SHIAN","2011-06-24",24,"C",43005,56.51498,-5.46156,"TS","Travelling",0.00895,4175.95122,0
"SOUTH SHIAN","2011-06-24",24,"C",43006,56.51494,-5.46169,"TS","Travelling",0.00895,4184.76076,0
"SOUTH SHIAN","2011-06-24",24,"C",43007,56.5149,-5.46182,"TS","Travelling",0.00865,4193.57104,0
"SOUTH SHIAN","2011-06-24",24,"C",43008,56.51486,-5.46194,"TS","Travelling",0.00865,4202.05623,0
