"DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL_km"
"2010-06-26",1,"Arctic",30352,56.19438,-2.55109,"AS","Foraging",0.00318,0.88742
"2010-06-26",1,"Arctic",30353,56.1944,-2.55105,"AS","Foraging",0.00318,0.89008
"2010-06-26",1,"Arctic",30354,56.19442,-2.55102,"AS","Foraging",0.0045,0.89275
"2010-06-26",1,"Arctic",30355,56.19444,-2.55095,"AS","Foraging",0.0045,0.89578
"2010-06-26",1,"Arctic",30356,56.19446,-2.55089,"AS","Foraging",0.0045,0.89882
"2010-06-26",1,"Arctic",30357,56.19448,-2.55083,"AS","Foraging",0.0045,0.90188
"2010-06-26",1,"Arctic",30358,56.1945,-2.55076,"AS","Foraging",0.0045,0.90494
"2010-06-26",1,"Arctic",30359,56.19452,-2.5507,"AS","Foraging",0.00616,0.90803
"2010-06-26",1,"Arctic",30360,56.19453,-2.5506,"AS","Foraging",0.00616,0.91089
"2010-06-26",1,"Arctic",30361,56.19454,-2.55051,"AS","Foraging",0.00616,0.91379
"2010-06-26",1,"Arctic",30362,56.19456,-2.55041,"AS","Foraging",0.00616,0.91673
"2010-06-26",1,"Arctic",30363,56.19457,-2.55031,"AS","Foraging",0.00616,0.91969
"2010-06-26",1,"Arctic",30364,56.19458,-2.55022,"AS","Foraging",0.00577,0.92269
"2010-06-26",1,"Arctic",30365,56.19458,-2.55012,"AS","Foraging",0.00577,0.92423
"2010-06-26",1,"Arctic",30366,56.19458,-2.55003,"AS","Foraging",0.00577,0.92581
"2010-06-26",1,"Arctic",30367,56.19458,-2.54994,"AS","Foraging",0.00577,0.92742
"2010-06-26",1,"Arctic",30368,56.19458,-2.54984,"AS","Foraging",0.00577,0.92906
"2010-06-26",1,"Arctic",30369,56.19458,-2.54975,"AS","Foraging",0.0033,0.93074
"2010-06-26",1,"Arctic",30370,56.19458,-2.5497,"AS","Foraging",0.0033,0.93171
"2010-06-26",1,"Arctic",30371,56.19458,-2.54964,"AS","Foraging",0.0033,0.9327
"2010-06-26",1,"Arctic",30372,56.19458,-2.54959,"AS","Foraging",0.0033,0.93369
"2010-06-26",1,"Arctic",30373,56.19458,-2.54954,"AS","Foraging",0.0033,0.9347
"2010-06-26",1,"Arctic",30392,56.19477,-2.54801,"TS","Travelling",0.00703,0.98663
"2010-06-26",1,"Arctic",30393,56.1948,-2.54791,"TS","Travelling",0.00703,0.99237
"2010-06-26",1,"Arctic",30394,56.19483,-2.54782,"TS","Travelling",0.00724,0.99813
"2010-06-26",1,"Arctic",30395,56.19487,-2.54772,"TS","Travelling",0.00724,1.00425
"2010-06-26",1,"Arctic",30396,56.19491,-2.54762,"TS","Travelling",0.00724,1.01038
"2010-06-26",1,"Arctic",30397,56.19494,-2.54753,"TS","Travelling",0.00724,1.01653
"2010-06-26",1,"Arctic",30398,56.19498,-2.54743,"TS","Travelling",0.00724,1.02269
"2010-06-26",1,"Arctic",30399,56.19502,-2.54733,"TS","Travelling",0.00721,1.02887
"2010-06-26",1,"Arctic",30400,56.19505,-2.54723,"TS","Travelling",0.00721,1.03455
"2010-06-26",1,"Arctic",30401,56.19508,-2.54713,"TS","Travelling",0.00721,1.04026
"2010-06-26",1,"Arctic",30402,56.19511,-2.54702,"TS","Travelling",0.00721,1.04598
"2010-06-26",1,"Arctic",30403,56.19514,-2.54692,"TS","Travelling",0.00721,1.05172
"2010-06-26",1,"Arctic",30404,56.19517,-2.54682,"TS","Travelling",0.00755,1.05748
"2010-06-26",1,"Arctic",30405,56.19519,-2.5467,"TS","Travelling",0.00755,1.06262
"2010-06-26",1,"Arctic",30406,56.19521,-2.54658,"TS","Travelling",0.00755,1.06778
"2010-06-26",1,"Arctic",30407,56.19523,-2.54647,"TS","Travelling",0.00755,1.07297
"2010-06-26",1,"Arctic",30408,56.19525,-2.54635,"TS","Travelling",0.00755,1.07819
"2010-06-26",1,"Arctic",30409,56.19527,-2.54623,"TS","Travelling",0.00777,1.08344
"2010-06-26",1,"Arctic",30410,56.19528,-2.54611,"TS","Travelling",0.00777,1.08824
"2010-06-26",1,"Arctic",30411,56.19529,-2.54599,"TS","Travelling",0.00777,1.09308
"2010-06-26",1,"Arctic",30412,56.19531,-2.54586,"TS","Travelling",0.00777,1.09795
"2010-06-26",1,"Arctic",30413,56.19532,-2.54574,"TS","Travelling",0.00777,1.10286
"2010-06-26",1,"Arctic",30414,56.19533,-2.54562,"TS","Travelling",0.00797,1.1078
"2010-06-26",1,"Arctic",30415,56.19535,-2.54549,"TS","Travelling",0.00797,1.11287
