"DATE","ID","TSECS_GMT","LATITUDE","LONGITUDE","SPECIES","Continuous","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2009-06-09",2,33830,53.4152,-4.50672,"C","AS",617.79534,"Foraging","Foraging","Foraging"
"2009-06-09",2,33831,53.41528,-4.50668,"C","AS",627.51528,"Foraging","Foraging","Foraging"
"2009-06-09",2,33832,53.41537,-4.50663,"C","AS",637.2356,"Foraging","Foraging","Foraging"
"2009-06-09",2,33833,53.41546,-4.50659,"C","AS",647.40649,"Foraging","Foraging","Foraging"
"2009-06-09",2,33834,53.41554,-4.50656,"C","AS",657.57901,"Foraging","Foraging","Foraging"
"2009-06-09",2,33835,53.41563,-4.50652,"C","AS",667.75309,"Foraging","Foraging","Foraging"
"2009-06-09",2,33836,53.41572,-4.50649,"C","AS",677.6744,"Foraging","Foraging","Foraging"
"2009-06-09",2,33837,53.41581,-4.50646,"C","AS",687.59979,"Foraging","Foraging","Foraging"
"2009-06-09",2,33838,53.4159,-4.50643,"C","AS",697.52911,"Foraging","Foraging","Foraging"
"2009-06-09",2,33839,53.41599,-4.50641,"C","AS",707.33776,"Foraging","Foraging","Foraging"
"2009-06-09",2,33840,53.41608,-4.50639,"C","AS",717.15172,"Foraging","Foraging","Foraging"
"2009-06-09",2,33841,53.41617,-4.50637,"C","AS",726.97078,"Foraging","Foraging","Foraging"
"2009-06-09",2,33842,53.41626,-4.50634,"C","AS",736.79475,"Foraging","Foraging","Foraging"
"2009-06-09",2,33843,53.41634,-4.50632,"C","AS",746.6234,"Foraging","Foraging","Foraging"
"2009-06-09",2,33844,53.41643,-4.5063,"C","AS",756.45657,"Foraging","Foraging","Foraging"
"2009-06-09",2,33845,53.41652,-4.50627,"C","AS",766.53249,"Foraging","Foraging","Foraging"
"2009-06-09",2,33846,53.41661,-4.50623,"C","AS",776.60998,"Foraging","Foraging","Foraging"
"2009-06-09",2,33847,53.4167,-4.5062,"C","AS",786.68899,"Foraging","Foraging","Foraging"
"2009-06-09",2,33848,53.41679,-4.50617,"C","AS",796.76947,"Foraging","Foraging","Foraging"
"2009-06-09",2,33849,53.41688,-4.50613,"C","AS",806.85133,"Foraging","Foraging","Foraging"
"2009-06-09",2,33850,53.41697,-4.5061,"C","AS",816.93455,"Foraging","Foraging","Foraging"
"2009-06-09",2,33851,53.41705,-4.50606,"C","AS",826.54921,"Foraging","Foraging","Foraging"
"2009-06-09",2,33852,53.41713,-4.50602,"C","AS",836.16414,"Foraging","Foraging","Foraging"
"2009-06-09",2,33853,53.41722,-4.50598,"C","AS",845.77934,"Foraging","Foraging","Foraging"
"2009-06-09",2,33854,53.41731,-4.50594,"C","AS",855.98163,"Foraging","Foraging","Foraging"
"2009-06-09",2,33855,53.41739,-4.50591,"C","AS",866.18443,"Foraging","Foraging","Foraging"
"2009-06-09",2,33856,53.41748,-4.50587,"C","AS",876.38771,"Foraging","Foraging","Foraging"
"2009-06-09",2,33857,53.41757,-4.50583,"C","AS",886.47617,"Foraging","Foraging","Foraging"
"2009-06-09",2,33858,53.41766,-4.5058,"C","AS",896.56571,"Foraging","Foraging","Foraging"
"2009-06-09",2,33859,53.41775,-4.50577,"C","AS",906.65631,"Foraging","Foraging","Foraging"
"2009-06-09",2,33860,53.41783,-4.50574,"C","AS",916.04586,"Foraging","Foraging","Foraging"
