"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50084,54.82895,-5.77132,"DF","Travelling",0.01375,0.7478,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50085,54.82907,-5.7713,"DF","Travelling",0.01375,0.7602,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50086,54.82919,-5.77128,"DF","Travelling",0.01375,0.77266,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50087,54.82932,-5.77127,"DF","Travelling",0.01371,0.78515,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50088,54.82944,-5.77127,"DF","Travelling",0.01371,0.79812,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50089,54.82956,-5.77127,"DF","Travelling",0.01371,0.81112,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50090,54.82969,-5.77128,"DF","Travelling",0.01371,0.82415,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50091,54.82981,-5.77128,"DF","Travelling",0.01371,0.83719,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50092,54.82993,-5.77128,"DF","Travelling",0.0134,0.85026,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50093,54.83005,-5.7713,"DF","Travelling",0.0134,0.86333,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50094,54.83017,-5.77132,"DF","Travelling",0.0134,0.87642,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50095,54.83029,-5.77134,"DF","Travelling",0.0134,0.88951,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50096,54.83041,-5.77136,"DF","Travelling",0.0134,0.90262,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50097,54.83053,-5.77138,"DF","Travelling",0.01265,0.91573,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50098,54.83065,-5.7714,"DF","Travelling",0.01265,0.92808,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50099,54.83076,-5.77142,"DF","Travelling",0.01265,0.94044,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50100,54.83087,-5.77143,"DF","Travelling",0.01265,0.95281,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50101,54.83099,-5.77145,"DF","Travelling",0.01265,0.96518,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50102,54.8311,-5.77147,"DF","Travelling",0.00927,0.97757,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50103,54.83118,-5.77146,"DF","Travelling",0.00927,0.98633,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50104,54.83127,-5.77145,"DF","Travelling",0.00927,0.99509,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50105,54.83135,-5.77145,"DF","Travelling",0.00927,1.00387,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50106,54.83143,-5.77144,"DF","Travelling",0.00927,1.01266,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50107,54.83152,-5.77143,"DF","Travelling",0.00853,1.02145,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50108,54.83159,-5.77144,"DF","Travelling",0.00853,1.02978,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50109,54.83167,-5.77145,"DF","Travelling",0.00853,1.03811,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50110,54.83175,-5.77145,"DF","Travelling",0.00853,1.04644,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50111,54.83182,-5.77146,"DF","Travelling",0.00853,1.05477,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50112,54.8319,-5.77147,"DF","Travelling",0.00833,1.06311,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50113,54.83197,-5.77149,"DF","Travelling",0.00833,1.07144,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50114,54.83205,-5.77152,"DF","Travelling",0.00833,1.07977,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50115,54.83212,-5.77155,"DF","Travelling",0.00833,1.08809,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50116,54.83219,-5.77157,"DF","Travelling",0.00833,1.09642,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50117,54.83227,-5.7716,"DF","Travelling",0.01072,1.10475,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50118,54.83236,-5.77166,"DF","Travelling",0.01072,1.11543,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50119,54.83245,-5.77172,"DF","Travelling",0,1.12612,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50120,54.83254,-5.77178,"TS","Travelling",0.01072,1.13681,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50121,54.83263,-5.77184,"TS","Travelling",0.01072,1.1475,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50122,54.83272,-5.7719,"TS","Travelling",0.01284,1.15818,"Chick",1
