"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33090,54.68417,-5.61265,"DF","Travelling",0.01368,0.65904,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33091,54.68425,-5.6125,"DF","Travelling",0.01368,0.67163,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33092,54.68433,-5.61234,"DF","Travelling",0.01368,0.68425,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33093,54.68442,-5.61218,"DF","Travelling",0.01134,0.69692,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33094,54.68447,-5.61204,"DF","Travelling",0.01134,0.70667,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33095,54.68453,-5.61189,"DF","Travelling",0.01134,0.71646,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33096,54.68459,-5.61174,"DF","Travelling",0.01134,0.72631,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33097,54.68464,-5.6116,"DF","Travelling",0.01134,0.73619,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33098,54.6847,-5.61145,"DF","Travelling",0.01007,0.74612,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33099,54.68474,-5.61131,"DF","Travelling",0.01007,0.75402,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33100,54.68477,-5.61116,"DF","Travelling",0.01007,0.76197,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33101,54.68481,-5.61102,"DF","Travelling",0.01007,0.76997,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33102,54.68485,-5.61088,"DF","Travelling",0.01007,0.77803,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33103,54.68488,-5.61073,"DF","Travelling",0.00973,0.78612,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33104,54.68492,-5.61059,"DF","Travelling",0.00973,0.79384,"Chick",0
