"ID","TSECS_BST","observedState","decodedState"
1,47852,"Not-foraging","Not-foraging"
1,47853,"Not-foraging","Not-foraging"
1,47854,"Not-foraging","Not-foraging"
1,47855,"Not-foraging","Not-foraging"
1,47856,"Not-foraging","Not-foraging"
1,47857,"Not-foraging","Not-foraging"
1,47858,"Not-foraging","Not-foraging"
1,47859,"Not-foraging","Not-foraging"
1,47860,"Not-foraging","Not-foraging"
1,47861,"Not-foraging","Not-foraging"
1,47862,"Not-foraging","Not-foraging"
1,47863,"Not-foraging","Not-foraging"
1,47864,"Not-foraging","Not-foraging"
1,47865,"Not-foraging","Not-foraging"
1,47866,"Not-foraging","Not-foraging"
1,47867,"Not-foraging","Not-foraging"
1,47868,"Not-foraging","Not-foraging"
1,47869,"Not-foraging","Not-foraging"
1,47870,"Not-foraging","Not-foraging"
1,47871,"Not-foraging","Not-foraging"
1,47872,"Not-foraging","Not-foraging"
1,47873,"Not-foraging","Not-foraging"
1,47874,"Not-foraging","Not-foraging"
1,47875,"Not-foraging","Not-foraging"
1,47876,"Not-foraging","Not-foraging"
1,47877,"Not-foraging","Not-foraging"
1,47878,"Not-foraging","Not-foraging"
1,47879,"Not-foraging","Not-foraging"
1,47880,"Not-foraging","Not-foraging"
1,47881,"Not-foraging","Not-foraging"
1,47882,"Not-foraging","Not-foraging"
1,47883,"Not-foraging","Not-foraging"
1,47884,"Not-foraging","Not-foraging"
1,47885,"Not-foraging","Not-foraging"
1,47886,"Not-foraging","Not-foraging"
1,47887,"Not-foraging","Not-foraging"
1,47888,"Not-foraging","Not-foraging"
1,47889,"Not-foraging","Not-foraging"
1,47890,"Not-foraging","Not-foraging"
1,47891,"Not-foraging","Not-foraging"
1,47892,"Not-foraging","Not-foraging"
1,47893,"Not-foraging","Not-foraging"
1,47894,"Not-foraging","Not-foraging"
1,47895,"Not-foraging","Not-foraging"
1,47896,"Not-foraging","Not-foraging"
1,47897,"Not-foraging","Not-foraging"
1,47898,"Not-foraging","Not-foraging"
1,47899,"Not-foraging","Not-foraging"
1,47900,"Not-foraging","Not-foraging"
1,47901,"Not-foraging","Not-foraging"
1,47902,"Not-foraging","Not-foraging"
1,47903,"Not-foraging","Not-foraging"
1,47904,"Not-foraging","Not-foraging"
1,47905,"Not-foraging","Not-foraging"
1,47906,"Not-foraging","Not-foraging"
1,47907,"Not-foraging","Not-foraging"
1,47908,"Not-foraging","Not-foraging"
1,47909,"Not-foraging","Not-foraging"
1,47910,"Not-foraging","Not-foraging"
1,47911,"Not-foraging","Not-foraging"
1,47912,"Not-foraging","Not-foraging"
1,47913,"Not-foraging","Not-foraging"
1,47914,"Not-foraging","Not-foraging"
1,47915,"Foraging","Not-foraging"
1,47916,"Foraging","Not-foraging"
1,47917,"Foraging","Not-foraging"
1,47918,"Foraging","Not-foraging"
1,47919,"Foraging","Not-foraging"
1,47920,"Not-foraging","Not-foraging"
1,47921,"Not-foraging","Not-foraging"
1,47922,"Not-foraging","Not-foraging"
1,47923,"Not-foraging","Not-foraging"
1,47924,"Not-foraging","Not-foraging"
1,47925,"Not-foraging","Not-foraging"
1,47926,"Not-foraging","Not-foraging"
1,47927,"Not-foraging","Not-foraging"
1,47928,"Not-foraging","Not-foraging"
1,47929,"Not-foraging","Not-foraging"
1,47930,"Not-foraging","Not-foraging"
1,47931,"Not-foraging","Not-foraging"
1,47932,"Not-foraging","Not-foraging"
1,47933,"Not-foraging","Not-foraging"
1,47934,"Not-foraging","Not-foraging"
1,47935,"Not-foraging","Not-foraging"
1,47936,"Not-foraging","Not-foraging"
1,47937,"Not-foraging","Not-foraging"
1,47938,"Not-foraging","Not-foraging"
1,47939,"Not-foraging","Not-foraging"
1,47940,"Not-foraging","Not-foraging"
1,47941,"Not-foraging","Not-foraging"
1,47942,"Not-foraging","Not-foraging"
1,47943,"Not-foraging","Not-foraging"
1,47944,"Not-foraging","Not-foraging"
1,47945,"Not-foraging","Not-foraging"
1,47946,"Not-foraging","Not-foraging"
1,47947,"Not-foraging","Not-foraging"
1,47948,"Not-foraging","Not-foraging"
1,47949,"Not-foraging","Not-foraging"
1,47950,"Not-foraging","Not-foraging"
1,47951,"Not-foraging","Not-foraging"
1,47952,"Not-foraging","Not-foraging"
1,47953,"Not-foraging","Not-foraging"
1,47954,"Not-foraging","Not-foraging"
1,47955,"Not-foraging","Not-foraging"
1,47956,"Not-foraging","Not-foraging"
1,47957,"Not-foraging","Not-foraging"
1,47958,"Not-foraging","Not-foraging"
1,47959,"Not-foraging","Not-foraging"
1,47960,"Not-foraging","Not-foraging"
1,47961,"Not-foraging","Not-foraging"
1,47962,"Not-foraging","Not-foraging"
1,47963,"Not-foraging","Not-foraging"
1,47964,"Not-foraging","Not-foraging"
1,47965,"Not-foraging","Not-foraging"
1,47966,"Not-foraging","Not-foraging"
1,47967,"Not-foraging","Not-foraging"
1,47968,"Not-foraging","Not-foraging"
1,47969,"Not-foraging","Not-foraging"
1,47970,"Not-foraging","Not-foraging"
1,47971,"Not-foraging","Not-foraging"
1,47972,"Not-foraging","Not-foraging"
1,47973,"Not-foraging","Not-foraging"
1,47974,"Not-foraging","Not-foraging"
1,47975,"Not-foraging","Not-foraging"
1,47976,"Not-foraging","Not-foraging"
1,47977,"Not-foraging","Not-foraging"
1,47978,"Not-foraging","Not-foraging"
1,47979,"Not-foraging","Not-foraging"
1,47980,"Not-foraging","Not-foraging"
1,47981,"Not-foraging","Not-foraging"
1,47982,"Not-foraging","Not-foraging"
1,47983,"Not-foraging","Not-foraging"
1,47984,"Not-foraging","Not-foraging"
1,47985,"Not-foraging","Not-foraging"
1,47986,"Not-foraging","Not-foraging"
1,47987,"Not-foraging","Not-foraging"
1,47988,"Not-foraging","Not-foraging"
1,47989,"Not-foraging","Not-foraging"
1,47990,"Not-foraging","Not-foraging"
1,47991,"Not-foraging","Not-foraging"
1,47992,"Not-foraging","Not-foraging"
1,47993,"Not-foraging","Not-foraging"
1,47994,"Not-foraging","Not-foraging"
1,47995,"Not-foraging","Not-foraging"
1,47996,"Not-foraging","Not-foraging"
1,47997,"Not-foraging","Not-foraging"
1,47998,"Not-foraging","Not-foraging"
1,47999,"Not-foraging","Not-foraging"
1,48000,"Not-foraging","Not-foraging"
1,48001,"Not-foraging","Not-foraging"
1,48002,"Not-foraging","Not-foraging"
1,48003,"Not-foraging","Not-foraging"
1,48004,"Not-foraging","Not-foraging"
1,48005,"Not-foraging","Not-foraging"
1,48006,"Not-foraging","Not-foraging"
1,48007,"Not-foraging","Not-foraging"
1,48008,"Not-foraging","Not-foraging"
1,48009,"Not-foraging","Not-foraging"
1,48010,"Not-foraging","Not-foraging"
1,48011,"Not-foraging","Not-foraging"
1,48012,"Not-foraging","Not-foraging"
1,48013,"Not-foraging","Not-foraging"
1,48014,"Not-foraging","Not-foraging"
1,48015,"Not-foraging","Not-foraging"
1,48016,"Not-foraging","Not-foraging"
1,48017,"Not-foraging","Not-foraging"
1,48018,"Not-foraging","Not-foraging"
1,48019,"Not-foraging","Not-foraging"
1,48020,"Not-foraging","Not-foraging"
1,48021,"Not-foraging","Not-foraging"
1,48022,"Not-foraging","Not-foraging"
1,48023,"Not-foraging","Not-foraging"
1,48024,"Not-foraging","Not-foraging"
1,48025,"Not-foraging","Not-foraging"
1,48026,"Not-foraging","Not-foraging"
1,48027,"Not-foraging","Not-foraging"
1,48028,"Not-foraging","Not-foraging"
1,48029,"Not-foraging","Not-foraging"
1,48030,"Not-foraging","Not-foraging"
1,48031,"Not-foraging","Not-foraging"
1,48032,"Not-foraging","Not-foraging"
1,48033,"Not-foraging","Not-foraging"
1,48034,"Not-foraging","Not-foraging"
1,48035,"Foraging","Not-foraging"
1,48036,"Foraging","Not-foraging"
1,48037,"Foraging","Not-foraging"
1,48038,"Foraging","Not-foraging"
1,48039,"Foraging","Not-foraging"
1,48040,"Foraging","Not-foraging"
1,48041,"Foraging","Not-foraging"
1,48042,"Foraging","Not-foraging"
1,48043,"Foraging","Not-foraging"
1,48044,"Foraging","Not-foraging"
1,48045,"Foraging","Not-foraging"
1,48046,"Foraging","Not-foraging"
1,48047,"Foraging","Not-foraging"
1,48048,"Foraging","Not-foraging"
1,48049,"Foraging","Not-foraging"
1,48050,"Foraging","Not-foraging"
1,48051,"Foraging","Foraging"
1,48052,"Foraging","Foraging"
1,48053,"Foraging","Not-foraging"
1,48054,"Foraging","Not-foraging"
1,48055,"Foraging","Not-foraging"
1,48056,"Foraging","Not-foraging"
1,48057,"Foraging","Not-foraging"
1,48058,"Foraging","Not-foraging"
1,48059,"Foraging","Foraging"
1,48060,"Not-foraging","Foraging"
1,48061,"Not-foraging","Foraging"
1,48062,"Not-foraging","Foraging"
1,48063,"Not-foraging","Foraging"
1,48064,"Not-foraging","Foraging"
1,48065,"Not-foraging","Foraging"
1,48066,"Not-foraging","Foraging"
1,48067,"Not-foraging","Foraging"
1,48068,"Not-foraging","Not-foraging"
1,48069,"Not-foraging","Not-foraging"
1,48070,"Not-foraging","Not-foraging"
1,48071,"Not-foraging","Not-foraging"
1,48072,"Not-foraging","Not-foraging"
1,48073,"Not-foraging","Not-foraging"
1,48074,"Not-foraging","Not-foraging"
1,48075,"Not-foraging","Not-foraging"
1,48076,"Not-foraging","Not-foraging"
1,48077,"Not-foraging","Not-foraging"
1,48078,"Not-foraging","Not-foraging"
1,48079,"Not-foraging","Not-foraging"
1,48080,"Not-foraging","Not-foraging"
1,48081,"Not-foraging","Not-foraging"
1,48082,"Not-foraging","Not-foraging"
1,48083,"Not-foraging","Not-foraging"
1,48084,"Not-foraging","Not-foraging"
1,48085,"Not-foraging","Not-foraging"
1,48086,"Not-foraging","Not-foraging"
1,48087,"Not-foraging","Not-foraging"
1,48088,"Not-foraging","Not-foraging"
1,48089,"Not-foraging","Not-foraging"
1,48090,"Not-foraging","Not-foraging"
1,48091,"Not-foraging","Not-foraging"
1,48092,"Not-foraging","Not-foraging"
1,48093,"Not-foraging","Not-foraging"
1,48094,"Not-foraging","Not-foraging"
1,48095,"Not-foraging","Not-foraging"
1,48096,"Not-foraging","Not-foraging"
1,48097,"Not-foraging","Not-foraging"
1,48098,"Not-foraging","Not-foraging"
1,48099,"Not-foraging","Not-foraging"
1,48100,"Not-foraging","Not-foraging"
1,48101,"Not-foraging","Not-foraging"
1,48102,"Not-foraging","Not-foraging"
1,48103,"Not-foraging","Not-foraging"
1,48104,"Not-foraging","Not-foraging"
1,48105,"Not-foraging","Not-foraging"
1,48106,"Not-foraging","Not-foraging"
1,48107,"Not-foraging","Foraging"
1,48108,"Not-foraging","Not-foraging"
1,48109,"Not-foraging","Not-foraging"
1,48110,"Not-foraging","Not-foraging"
1,48111,"Not-foraging","Not-foraging"
1,48112,"Not-foraging","Not-foraging"
1,48113,"Not-foraging","Not-foraging"
1,48114,"Not-foraging","Not-foraging"
1,48115,"Not-foraging","Foraging"
1,48116,"Not-foraging","Not-foraging"
1,48117,"Not-foraging","Not-foraging"
1,48118,"Not-foraging","Not-foraging"
1,48119,"Not-foraging","Not-foraging"
1,48120,"Not-foraging","Not-foraging"
1,48121,"Not-foraging","Not-foraging"
1,48122,"Not-foraging","Not-foraging"
1,48123,"Not-foraging","Not-foraging"
1,48124,"Not-foraging","Not-foraging"
1,48125,"Not-foraging","Not-foraging"
1,48126,"Not-foraging","Not-foraging"
1,48127,"Not-foraging","Not-foraging"
1,48128,"Not-foraging","Not-foraging"
1,48129,"Not-foraging","Not-foraging"
1,48130,"Not-foraging","Not-foraging"
1,48131,"Foraging","Not-foraging"
1,48132,"Foraging","Not-foraging"
1,48133,"Foraging","Not-foraging"
1,48134,"Foraging","Not-foraging"
1,48135,"Foraging","Not-foraging"
1,48136,"Foraging","Not-foraging"
1,48137,"Foraging","Not-foraging"
1,48138,"Foraging","Not-foraging"
1,48139,"Foraging","Not-foraging"
1,48140,"Foraging","Not-foraging"
1,48141,"Foraging","Not-foraging"
1,48142,"Foraging","Not-foraging"
1,48143,"Foraging","Not-foraging"
1,48144,"Foraging","Not-foraging"
1,48145,"Foraging","Not-foraging"
1,48146,"Foraging","Not-foraging"
1,48147,"Foraging","Not-foraging"
1,48148,"Foraging","Not-foraging"
1,48149,"Foraging","Not-foraging"
1,48150,"Foraging","Not-foraging"
1,48151,"Foraging","Not-foraging"
1,48152,"Foraging","Not-foraging"
1,48153,"Foraging","Not-foraging"
1,48154,"Foraging","Not-foraging"
1,48155,"Foraging","Not-foraging"
1,48156,"Foraging","Not-foraging"
1,48157,"Foraging","Not-foraging"
1,48158,"Foraging","Not-foraging"
1,48159,"Foraging","Not-foraging"
1,48160,"Foraging","Not-foraging"
1,48161,"Foraging","Not-foraging"
1,48162,"Foraging","Not-foraging"
1,48163,"Foraging","Not-foraging"
1,48164,"Foraging","Not-foraging"
1,48165,"Foraging","Not-foraging"
1,48166,"Foraging","Not-foraging"
1,48167,"Foraging","Not-foraging"
1,48168,"Foraging","Not-foraging"
1,48169,"Foraging","Not-foraging"
1,48170,"Foraging","Not-foraging"
1,48171,"Foraging","Not-foraging"
1,48172,"Foraging","Not-foraging"
1,48173,"Foraging","Not-foraging"
1,48174,"Foraging","Not-foraging"
1,48175,"Foraging","Not-foraging"
1,48176,"Foraging","Not-foraging"
1,48177,"Foraging","Not-foraging"
1,48178,"Foraging","Not-foraging"
1,48179,"Foraging","Not-foraging"
1,48180,"Foraging","Not-foraging"
1,48181,"Foraging","Not-foraging"
