"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36682,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36683,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36684,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36685,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36686,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36687,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36688,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36689,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36690,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36691,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36692,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36693,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36694,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36695,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36696,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36697,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36698,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36699,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36700,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36701,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36702,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36703,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36704,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36705,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36706,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36707,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36708,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36709,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36710,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36711,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36712,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36713,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36714,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36715,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36716,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36717,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36718,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36719,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36720,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36721,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36722,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36723,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36724,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36725,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36726,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36727,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36728,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36729,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36730,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36731,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36732,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36733,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36734,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36735,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36736,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36737,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36738,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36739,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36740,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36741,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36742,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36743,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36744,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36745,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36746,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36747,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36748,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36749,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36750,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36751,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36752,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36753,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36754,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36755,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36756,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36757,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36758,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36759,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36760,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36761,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36762,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36763,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36764,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36765,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36766,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36767,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36768,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36769,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36770,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36771,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36772,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36773,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36774,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36775,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36776,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36777,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36778,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36779,"Not-foraging","Not-foraging"
