"ID","SPECIES","TSECS","observedState","decodedState"
10,"Roseate tern",48295,"Not-foraging","Not-foraging"
10,"Roseate tern",48296,"Not-foraging","Not-foraging"
10,"Roseate tern",48297,"Not-foraging","Not-foraging"
10,"Roseate tern",48298,"Not-foraging","Not-foraging"
10,"Roseate tern",48299,"Not-foraging","Not-foraging"
10,"Roseate tern",48300,"Not-foraging","Not-foraging"
10,"Roseate tern",48301,"Not-foraging","Not-foraging"
10,"Roseate tern",48302,"Not-foraging","Not-foraging"
10,"Roseate tern",48303,"Not-foraging","Not-foraging"
10,"Roseate tern",48304,"Not-foraging","Not-foraging"
10,"Roseate tern",48305,"Not-foraging","Not-foraging"
10,"Roseate tern",48306,"Not-foraging","Not-foraging"
10,"Roseate tern",48307,"Not-foraging","Not-foraging"
10,"Roseate tern",48308,"Not-foraging","Not-foraging"
10,"Roseate tern",48309,"Not-foraging","Not-foraging"
10,"Roseate tern",48310,"Not-foraging","Not-foraging"
10,"Roseate tern",48311,"Not-foraging","Not-foraging"
10,"Roseate tern",48312,"Not-foraging","Not-foraging"
10,"Roseate tern",48313,"Not-foraging","Not-foraging"
10,"Roseate tern",48314,"Not-foraging","Not-foraging"
10,"Roseate tern",48315,"Not-foraging","Not-foraging"
10,"Roseate tern",48316,"Not-foraging","Not-foraging"
10,"Roseate tern",48317,"Not-foraging","Not-foraging"
10,"Roseate tern",48318,"Not-foraging","Not-foraging"
10,"Roseate tern",48319,"Not-foraging","Not-foraging"
10,"Roseate tern",48320,"Not-foraging","Not-foraging"
10,"Roseate tern",48321,"Not-foraging","Not-foraging"
10,"Roseate tern",48322,"Not-foraging","Not-foraging"
10,"Roseate tern",48323,"Not-foraging","Not-foraging"
10,"Roseate tern",48324,"Not-foraging","Not-foraging"
10,"Roseate tern",48325,"Not-foraging","Not-foraging"
10,"Roseate tern",48326,"Not-foraging","Not-foraging"
10,"Roseate tern",48327,"Not-foraging","Not-foraging"
10,"Roseate tern",48328,"Not-foraging","Not-foraging"
10,"Roseate tern",48329,"Not-foraging","Not-foraging"
10,"Roseate tern",48330,"Not-foraging","Not-foraging"
10,"Roseate tern",48331,"Not-foraging","Not-foraging"
10,"Roseate tern",48332,"Not-foraging","Not-foraging"
10,"Roseate tern",48333,"Not-foraging","Not-foraging"
10,"Roseate tern",48334,"Not-foraging","Not-foraging"
10,"Roseate tern",48335,"Not-foraging","Not-foraging"
10,"Roseate tern",48336,"Not-foraging","Not-foraging"
10,"Roseate tern",48337,"Not-foraging","Not-foraging"
10,"Roseate tern",48338,"Not-foraging","Not-foraging"
10,"Roseate tern",48339,"Not-foraging","Not-foraging"
10,"Roseate tern",48340,"Not-foraging","Not-foraging"
10,"Roseate tern",48341,"Not-foraging","Not-foraging"
10,"Roseate tern",48342,"Not-foraging","Not-foraging"
10,"Roseate tern",48343,"Not-foraging","Not-foraging"
10,"Roseate tern",48344,"Not-foraging","Not-foraging"
10,"Roseate tern",48345,"Not-foraging","Not-foraging"
10,"Roseate tern",48346,"Not-foraging","Not-foraging"
10,"Roseate tern",48347,"Not-foraging","Not-foraging"
10,"Roseate tern",48348,"Not-foraging","Not-foraging"
10,"Roseate tern",48349,"Not-foraging","Not-foraging"
10,"Roseate tern",48350,"Not-foraging","Not-foraging"
10,"Roseate tern",48351,"Not-foraging","Not-foraging"
10,"Roseate tern",48352,"Not-foraging","Not-foraging"
