"ID","SPECIES","TSECS_GMT","observedState","decodedState"
6,"A",46192,"Foraging","Not-foraging"
6,"A",46193,"Foraging","Not-foraging"
6,"A",46194,"Foraging","Not-foraging"
6,"A",46195,"Foraging","Not-foraging"
6,"A",46196,"Foraging","Not-foraging"
6,"A",46197,"Foraging","Not-foraging"
6,"A",46198,"Foraging","Not-foraging"
6,"A",46199,"Foraging","Not-foraging"
6,"A",46200,"Foraging","Not-foraging"
6,"A",46201,"Foraging","Not-foraging"
6,"A",46202,"Foraging","Not-foraging"
6,"A",46203,"Foraging","Not-foraging"
6,"A",46204,"Foraging","Not-foraging"
6,"A",46205,"Foraging","Not-foraging"
6,"A",46206,"Foraging","Not-foraging"
6,"A",46207,"Foraging","Not-foraging"
6,"A",46208,"Foraging","Not-foraging"
6,"A",46209,"Foraging","Not-foraging"
6,"A",46210,"Foraging","Not-foraging"
6,"A",46211,"Foraging","Not-foraging"
6,"A",46212,"Foraging","Not-foraging"
6,"A",46213,"Foraging","Not-foraging"
6,"A",46214,"Foraging","Not-foraging"
6,"A",46215,"Foraging","Not-foraging"
6,"A",46216,"Foraging","Not-foraging"
6,"A",46217,"Foraging","Not-foraging"
6,"A",46218,"Foraging","Not-foraging"
6,"A",46219,"Foraging","Not-foraging"
6,"A",46220,"Foraging","Not-foraging"
6,"A",46221,"Foraging","Not-foraging"
6,"A",46222,"Foraging","Not-foraging"
6,"A",46223,"Foraging","Not-foraging"
6,"A",46224,"Foraging","Not-foraging"
6,"A",46225,"Foraging","Not-foraging"
6,"A",46226,"Foraging","Not-foraging"
6,"A",46227,"Foraging","Not-foraging"
6,"A",46228,"Foraging","Not-foraging"
6,"A",46229,"Foraging","Not-foraging"
6,"A",46230,"Foraging","Not-foraging"
6,"A",46231,"Foraging","Not-foraging"
6,"A",46232,"Foraging","Not-foraging"
6,"A",46233,"Foraging","Not-foraging"
6,"A",46234,"Foraging","Not-foraging"
6,"A",46235,"Foraging","Not-foraging"
6,"A",46236,"Foraging","Not-foraging"
6,"A",46237,"Foraging","Not-foraging"
6,"A",46238,"Foraging","Not-foraging"
6,"A",46239,"Foraging","Not-foraging"
6,"A",46240,"Foraging","Not-foraging"
6,"A",46241,"Foraging","Not-foraging"
6,"A",46242,"Foraging","Not-foraging"
6,"A",46243,"Foraging","Not-foraging"
6,"A",46244,"Foraging","Not-foraging"
6,"A",46245,"Foraging","Not-foraging"
6,"A",46246,"Foraging","Not-foraging"
6,"A",46247,"Foraging","Not-foraging"
6,"A",46248,"Foraging","Not-foraging"
6,"A",46249,"Foraging","Foraging"
6,"A",46250,"Foraging","Foraging"
6,"A",46251,"Foraging","Foraging"
6,"A",46252,"Foraging","Foraging"
6,"A",46253,"Foraging","Foraging"
6,"A",46254,"Foraging","Foraging"
6,"A",46255,"Foraging","Foraging"
6,"A",46256,"Foraging","Foraging"
6,"A",46257,"Foraging","Foraging"
6,"A",46258,"Foraging","Foraging"
6,"A",46259,"Foraging","Foraging"
6,"A",46260,"Foraging","Foraging"
6,"A",46261,"Foraging","Foraging"
6,"A",46262,"Foraging","Foraging"
6,"A",46263,"Foraging","Foraging"
6,"A",46264,"Foraging","Foraging"
6,"A",46265,"Foraging","Foraging"
6,"A",46266,"Foraging","Foraging"
6,"A",46267,"Foraging","Foraging"
6,"A",46268,"Foraging","Foraging"
6,"A",46269,"Foraging","Foraging"
6,"A",46270,"Foraging","Foraging"
6,"A",46271,"Foraging","Foraging"
6,"A",46272,"Foraging","Foraging"
6,"A",46273,"Foraging","Foraging"
6,"A",46274,"Foraging","Foraging"
6,"A",46275,"Foraging","Foraging"
6,"A",46276,"Foraging","Foraging"
6,"A",46277,"Foraging","Foraging"
6,"A",46278,"Foraging","Foraging"
6,"A",46279,"Foraging","Not-foraging"
6,"A",46280,"Foraging","Not-foraging"
6,"A",46281,"Foraging","Not-foraging"
6,"A",46282,"Foraging","Not-foraging"
6,"A",46283,"Foraging","Not-foraging"
6,"A",46284,"Foraging","Not-foraging"
6,"A",46285,"Foraging","Foraging"
6,"A",46286,"Foraging","Foraging"
6,"A",46287,"Foraging","Foraging"
6,"A",46288,"Foraging","Foraging"
6,"A",46289,"Foraging","Foraging"
6,"A",46290,"Foraging","Foraging"
6,"A",46291,"Foraging","Foraging"
6,"A",46292,"Foraging","Foraging"
6,"A",46293,"Foraging","Foraging"
6,"A",46294,"Foraging","Foraging"
6,"A",46295,"Foraging","Foraging"
6,"A",46296,"Foraging","Foraging"
6,"A",46297,"Foraging","Foraging"
6,"A",46298,"Foraging","Foraging"
6,"A",46299,"Foraging","Foraging"
6,"A",46300,"Foraging","Foraging"
6,"A",46301,"Foraging","Foraging"
6,"A",46302,"Foraging","Foraging"
6,"A",46303,"Foraging","Foraging"
6,"A",46304,"Foraging","Foraging"
6,"A",46305,"Foraging","Foraging"
6,"A",46306,"Foraging","Foraging"
6,"A",46307,"Foraging","Foraging"
6,"A",46308,"Foraging","Foraging"
6,"A",46309,"Foraging","Foraging"
6,"A",46310,"Foraging","Foraging"
6,"A",46311,"Foraging","Foraging"
6,"A",46312,"Foraging","Foraging"
6,"A",46313,"Foraging","Foraging"
6,"A",46314,"Foraging","Foraging"
6,"A",46315,"Foraging","Foraging"
6,"A",46316,"Foraging","Foraging"
6,"A",46317,"Foraging","Foraging"
6,"A",46318,"Foraging","Foraging"
6,"A",46319,"Foraging","Foraging"
6,"A",46320,"Foraging","Foraging"
6,"A",46321,"Foraging","Foraging"
6,"A",46322,"Foraging","Foraging"
6,"A",46323,"Foraging","Foraging"
6,"A",46324,"Foraging","Foraging"
6,"A",46325,"Foraging","Foraging"
6,"A",46326,"Foraging","Foraging"
6,"A",46327,"Foraging","Foraging"
6,"A",46328,"Foraging","Foraging"
6,"A",46329,"Foraging","Foraging"
6,"A",46330,"Foraging","Foraging"
6,"A",46331,"Foraging","Foraging"
6,"A",46332,"Foraging","Foraging"
6,"A",46333,"Foraging","Foraging"
6,"A",46334,"Foraging","Foraging"
6,"A",46335,"Foraging","Foraging"
6,"A",46336,"Foraging","Foraging"
6,"A",46337,"Foraging","Foraging"
6,"A",46338,"Foraging","Foraging"
6,"A",46339,"Foraging","Foraging"
6,"A",46340,"Foraging","Foraging"
6,"A",46341,"Foraging","Foraging"
6,"A",46342,"Foraging","Foraging"
6,"A",46343,"Foraging","Foraging"
6,"A",46344,"Foraging","Foraging"
6,"A",46345,"Foraging","Foraging"
6,"A",46346,"Foraging","Foraging"
6,"A",46347,"Foraging","Foraging"
6,"A",46348,"Foraging","Foraging"
6,"A",46349,"Foraging","Foraging"
6,"A",46350,"Foraging","Foraging"
6,"A",46351,"Foraging","Foraging"
6,"A",46352,"Foraging","Foraging"
6,"A",46353,"Foraging","Foraging"
6,"A",46354,"Foraging","Not-foraging"
6,"A",46355,"Foraging","Not-foraging"
6,"A",46356,"Foraging","Not-foraging"
6,"A",46357,"Foraging","Not-foraging"
6,"A",46358,"Foraging","Not-foraging"
6,"A",46359,"Foraging","Not-foraging"
6,"A",46360,"Foraging","Not-foraging"
6,"A",46361,"Foraging","Not-foraging"
6,"A",46362,"Foraging","Not-foraging"
6,"A",46363,"Foraging","Not-foraging"
6,"A",46364,"Foraging","Not-foraging"
6,"A",46365,"Foraging","Not-foraging"
6,"A",46366,"Foraging","Not-foraging"
6,"A",46367,"Foraging","Not-foraging"
6,"A",46368,"Foraging","Not-foraging"
6,"A",46369,"Foraging","Not-foraging"
6,"A",46370,"Foraging","Not-foraging"
6,"A",46371,"Foraging","Not-foraging"
6,"A",46372,"Foraging","Foraging"
6,"A",46373,"Foraging","Foraging"
6,"A",46374,"Foraging","Foraging"
6,"A",46375,"Foraging","Foraging"
6,"A",46376,"Foraging","Foraging"
6,"A",46377,"Foraging","Foraging"
6,"A",46378,"Foraging","Foraging"
6,"A",46379,"Foraging","Foraging"
