"ID","SPECIES","STAGE","TSECS","observedState","decodedState"
23,"Sandwich","Chick",33145,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33146,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33147,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33148,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33149,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33150,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33151,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33152,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33153,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33154,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33155,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33156,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33157,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33158,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33159,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33160,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33161,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33162,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33163,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33164,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33165,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33166,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33167,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33168,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33169,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33170,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33171,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33172,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33173,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33174,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33175,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33176,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33177,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33178,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33179,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33180,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33181,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33182,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33183,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33184,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33185,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33186,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33187,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33188,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33189,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33190,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33191,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33192,"Not-foraging","Not-foraging"
