"ID","SPECIES","BSTTSECS","observedState","decodedState"
2,"Sandwich",36116,"Foraging","Foraging"
2,"Sandwich",36117,"Foraging","Foraging"
2,"Sandwich",36118,"Foraging","Foraging"
2,"Sandwich",36119,"Foraging","Foraging"
2,"Sandwich",36120,"Foraging","Foraging"
2,"Sandwich",36121,"Not-foraging","Foraging"
2,"Sandwich",36122,"Not-foraging","Foraging"
2,"Sandwich",36123,"Not-foraging","Foraging"
2,"Sandwich",36124,"Not-foraging","Foraging"
2,"Sandwich",36125,"Not-foraging","Foraging"
2,"Sandwich",36126,"Not-foraging","Foraging"
2,"Sandwich",36127,"Not-foraging","Foraging"
2,"Sandwich",36128,"Not-foraging","Foraging"
2,"Sandwich",36129,"Not-foraging","Foraging"
2,"Sandwich",36130,"Not-foraging","Foraging"
2,"Sandwich",36131,"Not-foraging","Foraging"
2,"Sandwich",36132,"Not-foraging","Foraging"
2,"Sandwich",36133,"Not-foraging","Foraging"
2,"Sandwich",36134,"Not-foraging","Foraging"
2,"Sandwich",36135,"Not-foraging","Foraging"
2,"Sandwich",36136,"Not-foraging","Foraging"
2,"Sandwich",36137,"Not-foraging","Foraging"
2,"Sandwich",36138,"Not-foraging","Foraging"
2,"Sandwich",36139,"Not-foraging","Foraging"
2,"Sandwich",36140,"Not-foraging","Foraging"
2,"Sandwich",36141,"Foraging","Foraging"
2,"Sandwich",36142,"Foraging","Foraging"
2,"Sandwich",36143,"Foraging","Foraging"
2,"Sandwich",36144,"Foraging","Foraging"
2,"Sandwich",36145,"Foraging","Foraging"
2,"Sandwich",36146,"Foraging","Foraging"
2,"Sandwich",36147,"Foraging","Foraging"
2,"Sandwich",36148,"Foraging","Foraging"
2,"Sandwich",36149,"Foraging","Foraging"
2,"Sandwich",36150,"Foraging","Foraging"
2,"Sandwich",36151,"Foraging","Foraging"
2,"Sandwich",36152,"Foraging","Foraging"
2,"Sandwich",36153,"Foraging","Foraging"
2,"Sandwich",36154,"Foraging","Foraging"
2,"Sandwich",36155,"Not-foraging","Foraging"
2,"Sandwich",36155,"Not-foraging","Foraging"
2,"Sandwich",36155,"Not-foraging","Foraging"
2,"Sandwich",36155,"Not-foraging","Foraging"
2,"Sandwich",36156,"Foraging","Foraging"
2,"Sandwich",36157,"Foraging","Foraging"
2,"Sandwich",36158,"Foraging","Foraging"
2,"Sandwich",36159,"Foraging","Foraging"
2,"Sandwich",36160,"Foraging","Foraging"
2,"Sandwich",36161,"Foraging","Foraging"
2,"Sandwich",36162,"Foraging","Foraging"
2,"Sandwich",36163,"Foraging","Foraging"
2,"Sandwich",36164,"Foraging","Foraging"
2,"Sandwich",36165,"Foraging","Foraging"
2,"Sandwich",36166,"Foraging","Foraging"
2,"Sandwich",36167,"Foraging","Foraging"
2,"Sandwich",36168,"Foraging","Foraging"
2,"Sandwich",36169,"Foraging","Foraging"
2,"Sandwich",36170,"Foraging","Foraging"
2,"Sandwich",36171,"Foraging","Foraging"
2,"Sandwich",36172,"Foraging","Foraging"
2,"Sandwich",36173,"Foraging","Foraging"
2,"Sandwich",36174,"Foraging","Foraging"
2,"Sandwich",36175,"Foraging","Foraging"
2,"Sandwich",36176,"Foraging","Foraging"
2,"Sandwich",36177,"Foraging","Foraging"
2,"Sandwich",36178,"Foraging","Foraging"
2,"Sandwich",36179,"Foraging","Foraging"
2,"Sandwich",36180,"Foraging","Foraging"
2,"Sandwich",36181,"Foraging","Foraging"
2,"Sandwich",36182,"Foraging","Foraging"
2,"Sandwich",36183,"Foraging","Foraging"
2,"Sandwich",36184,"Foraging","Foraging"
2,"Sandwich",36185,"Foraging","Foraging"
2,"Sandwich",36186,"Foraging","Foraging"
2,"Sandwich",36187,"Foraging","Foraging"
2,"Sandwich",36188,"Foraging","Foraging"
2,"Sandwich",36189,"Foraging","Foraging"
2,"Sandwich",36190,"Foraging","Foraging"
2,"Sandwich",36191,"Foraging","Foraging"
2,"Sandwich",36192,"Foraging","Foraging"
2,"Sandwich",36193,"Foraging","Foraging"
2,"Sandwich",36194,"Foraging","Foraging"
2,"Sandwich",36195,"Foraging","Foraging"
2,"Sandwich",36196,"Foraging","Foraging"
2,"Sandwich",36197,"Foraging","Foraging"
2,"Sandwich",36198,"Foraging","Foraging"
2,"Sandwich",36199,"Foraging","Foraging"
2,"Sandwich",36200,"Foraging","Foraging"
2,"Sandwich",36201,"Foraging","Foraging"
2,"Sandwich",36202,"Not-foraging","Foraging"
2,"Sandwich",36203,"Not-foraging","Foraging"
2,"Sandwich",36204,"Not-foraging","Foraging"
2,"Sandwich",36205,"Not-foraging","Foraging"
2,"Sandwich",36206,"Not-foraging","Foraging"
2,"Sandwich",36207,"Not-foraging","Not-foraging"
2,"Sandwich",36208,"Not-foraging","Not-foraging"
2,"Sandwich",36209,"Not-foraging","Not-foraging"
2,"Sandwich",36210,"Not-foraging","Not-foraging"
2,"Sandwich",36211,"Not-foraging","Not-foraging"
2,"Sandwich",36212,"Not-foraging","Not-foraging"
