"ID","SPECIES","TSECS_GMT","observedState","decodedState"
2,"C",33914,"Foraging","Not-foraging"
2,"C",33915,"Foraging","Not-foraging"
2,"C",33916,"Foraging","Not-foraging"
2,"C",33917,"Foraging","Not-foraging"
2,"C",33918,"Foraging","Not-foraging"
2,"C",33919,"Foraging","Not-foraging"
2,"C",33920,"Foraging","Not-foraging"
2,"C",33921,"Foraging","Not-foraging"
2,"C",33922,"Foraging","Not-foraging"
2,"C",33923,"Foraging","Not-foraging"
2,"C",33924,"Foraging","Not-foraging"
2,"C",33925,"Foraging","Not-foraging"
2,"C",33926,"Foraging","Not-foraging"
2,"C",33927,"Foraging","Not-foraging"
2,"C",33928,"Foraging","Not-foraging"
2,"C",33929,"Foraging","Not-foraging"
2,"C",33930,"Foraging","Not-foraging"
2,"C",33931,"Foraging","Not-foraging"
2,"C",33932,"Foraging","Not-foraging"
2,"C",33933,"Foraging","Not-foraging"
2,"C",33934,"Foraging","Not-foraging"
2,"C",33935,"Foraging","Not-foraging"
2,"C",33936,"Foraging","Not-foraging"
2,"C",33937,"Foraging","Not-foraging"
2,"C",33938,"Foraging","Not-foraging"
2,"C",33939,"Foraging","Not-foraging"
2,"C",33940,"Not-foraging","Not-foraging"
2,"C",33941,"Not-foraging","Not-foraging"
2,"C",33942,"Not-foraging","Not-foraging"
2,"C",33943,"Not-foraging","Not-foraging"
2,"C",33944,"Not-foraging","Not-foraging"
2,"C",33945,"Not-foraging","Not-foraging"
2,"C",33946,"Not-foraging","Not-foraging"
2,"C",33947,"Not-foraging","Not-foraging"
2,"C",33948,"Not-foraging","Not-foraging"
2,"C",33949,"Not-foraging","Not-foraging"
2,"C",33950,"Not-foraging","Not-foraging"
2,"C",33951,"Not-foraging","Not-foraging"
2,"C",33952,"Not-foraging","Not-foraging"
2,"C",33953,"Not-foraging","Not-foraging"
2,"C",33954,"Not-foraging","Not-foraging"
2,"C",33955,"Not-foraging","Not-foraging"
2,"C",33956,"Not-foraging","Not-foraging"
2,"C",33957,"Not-foraging","Not-foraging"
2,"C",33958,"Not-foraging","Not-foraging"
2,"C",33959,"Not-foraging","Not-foraging"
2,"C",33960,"Not-foraging","Not-foraging"
2,"C",33961,"Not-foraging","Not-foraging"
2,"C",33962,"Not-foraging","Not-foraging"
2,"C",33963,"Not-foraging","Not-foraging"
2,"C",33964,"Not-foraging","Not-foraging"
2,"C",33965,"Not-foraging","Foraging"
2,"C",33966,"Not-foraging","Foraging"
2,"C",33967,"Not-foraging","Foraging"
2,"C",33968,"Not-foraging","Foraging"
2,"C",33969,"Not-foraging","Foraging"
2,"C",33970,"Not-foraging","Foraging"
2,"C",33971,"Not-foraging","Foraging"
2,"C",33972,"Not-foraging","Foraging"
2,"C",33973,"Not-foraging","Foraging"
2,"C",33974,"Not-foraging","Foraging"
2,"C",33975,"Foraging","Foraging"
2,"C",33976,"Foraging","Foraging"
2,"C",33977,"Foraging","Foraging"
2,"C",33978,"Foraging","Foraging"
2,"C",33979,"Foraging","Foraging"
2,"C",33980,"Foraging","Foraging"
2,"C",33981,"Foraging","Foraging"
2,"C",33982,"Foraging","Foraging"
2,"C",33983,"Foraging","Foraging"
2,"C",33984,"Foraging","Foraging"
2,"C",33985,"Foraging","Foraging"
2,"C",33986,"Foraging","Foraging"
2,"C",33987,"Foraging","Foraging"
2,"C",33988,"Foraging","Foraging"
2,"C",33989,"Foraging","Foraging"
2,"C",33990,"Foraging","Foraging"
2,"C",33991,"Foraging","Foraging"
2,"C",33992,"Foraging","Foraging"
2,"C",33993,"Foraging","Foraging"
2,"C",33994,"Foraging","Foraging"
2,"C",33995,"Foraging","Foraging"
2,"C",33996,"Foraging","Foraging"
2,"C",33997,"Foraging","Foraging"
2,"C",33998,"Foraging","Foraging"
2,"C",33999,"Foraging","Foraging"
2,"C",34000,"Foraging","Foraging"
2,"C",34001,"Foraging","Foraging"
2,"C",34002,"Foraging","Foraging"
2,"C",34003,"Foraging","Foraging"
2,"C",34004,"Foraging","Foraging"
2,"C",34005,"Foraging","Foraging"
2,"C",34006,"Foraging","Foraging"
2,"C",34007,"Foraging","Foraging"
2,"C",34008,"Foraging","Foraging"
2,"C",34009,"Foraging","Foraging"
2,"C",34010,"Foraging","Foraging"
2,"C",34011,"Foraging","Foraging"
2,"C",34012,"Foraging","Foraging"
2,"C",34013,"Foraging","Foraging"
2,"C",34014,"Foraging","Foraging"
2,"C",34015,"Foraging","Foraging"
2,"C",34016,"Foraging","Foraging"
2,"C",34017,"Foraging","Foraging"
2,"C",34018,"Foraging","Foraging"
2,"C",34019,"Foraging","Foraging"
2,"C",34020,"Foraging","Foraging"
2,"C",34021,"Foraging","Foraging"
2,"C",34022,"Foraging","Foraging"
2,"C",34023,"Foraging","Foraging"
2,"C",34024,"Foraging","Foraging"
2,"C",34025,"Foraging","Foraging"
2,"C",34026,"Foraging","Foraging"
2,"C",34027,"Foraging","Foraging"
2,"C",34028,"Foraging","Foraging"
2,"C",34029,"Foraging","Foraging"
2,"C",34030,"Foraging","Foraging"
2,"C",34031,"Foraging","Foraging"
2,"C",34032,"Foraging","Foraging"
2,"C",34033,"Foraging","Foraging"
2,"C",34034,"Foraging","Foraging"
2,"C",34035,"Foraging","Foraging"
2,"C",34036,"Foraging","Foraging"
2,"C",34037,"Foraging","Foraging"
2,"C",34038,"Foraging","Foraging"
2,"C",34039,"Foraging","Foraging"
2,"C",34040,"Foraging","Foraging"
2,"C",34041,"Foraging","Foraging"
2,"C",34042,"Foraging","Foraging"
2,"C",34043,"Foraging","Foraging"
2,"C",34044,"Foraging","Foraging"
2,"C",34045,"Foraging","Foraging"
2,"C",34046,"Foraging","Foraging"
2,"C",34047,"Foraging","Foraging"
2,"C",34048,"Foraging","Foraging"
2,"C",34049,"Foraging","Foraging"
2,"C",34050,"Foraging","Foraging"
2,"C",34051,"Foraging","Foraging"
2,"C",34052,"Foraging","Foraging"
2,"C",34053,"Foraging","Foraging"
2,"C",34054,"Foraging","Foraging"
2,"C",34055,"Foraging","Foraging"
2,"C",34056,"Foraging","Foraging"
2,"C",34057,"Foraging","Foraging"
2,"C",34058,"Foraging","Foraging"
2,"C",34059,"Foraging","Foraging"
2,"C",34060,"Foraging","Foraging"
2,"C",34061,"Foraging","Foraging"
2,"C",34062,"Foraging","Foraging"
2,"C",34063,"Foraging","Foraging"
2,"C",34064,"Foraging","Foraging"
2,"C",34065,"Foraging","Foraging"
2,"C",34066,"Foraging","Foraging"
2,"C",34067,"Foraging","Foraging"
2,"C",34068,"Foraging","Foraging"
2,"C",34069,"Foraging","Foraging"
2,"C",34070,"Foraging","Foraging"
2,"C",34071,"Foraging","Foraging"
2,"C",34072,"Foraging","Foraging"
2,"C",34073,"Foraging","Foraging"
2,"C",34074,"Foraging","Foraging"
2,"C",34075,"Foraging","Foraging"
2,"C",34076,"Foraging","Foraging"
2,"C",34077,"Foraging","Foraging"
2,"C",34078,"Foraging","Foraging"
2,"C",34079,"Foraging","Foraging"
2,"C",34080,"Foraging","Foraging"
2,"C",34081,"Foraging","Foraging"
2,"C",34082,"Foraging","Foraging"
2,"C",34083,"Foraging","Foraging"
2,"C",34084,"Foraging","Foraging"
2,"C",34085,"Foraging","Foraging"
2,"C",34086,"Foraging","Foraging"
2,"C",34087,"Foraging","Foraging"
2,"C",34088,"Foraging","Foraging"
2,"C",34089,"Foraging","Foraging"
2,"C",34090,"Foraging","Foraging"
2,"C",34091,"Foraging","Foraging"
2,"C",34092,"Foraging","Foraging"
2,"C",34093,"Foraging","Foraging"
2,"C",34094,"Foraging","Foraging"
2,"C",34095,"Foraging","Foraging"
2,"C",34096,"Foraging","Foraging"
2,"C",34097,"Foraging","Foraging"
2,"C",34098,"Foraging","Foraging"
2,"C",34099,"Foraging","Foraging"
2,"C",34100,"Foraging","Foraging"
2,"C",34101,"Foraging","Foraging"
2,"C",34102,"Foraging","Foraging"
2,"C",34103,"Foraging","Foraging"
2,"C",34104,"Foraging","Foraging"
2,"C",34105,"Foraging","Foraging"
2,"C",34106,"Foraging","Foraging"
2,"C",34107,"Foraging","Foraging"
2,"C",34108,"Foraging","Foraging"
2,"C",34109,"Foraging","Foraging"
