"COLONY","ID","SPECIES","TSECS","observedState","decodedState"
"Glas Eileanan",2,"C",39708,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39709,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39710,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39711,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39712,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39713,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39714,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39715,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39716,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39717,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39718,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39719,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39720,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39721,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39722,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39723,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39724,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39725,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39726,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39727,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39728,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39729,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39730,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39731,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39732,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39733,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39734,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39735,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39736,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39737,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39738,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39739,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39740,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39741,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39742,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39743,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39744,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39745,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39746,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39747,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39748,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39749,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39750,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39751,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39752,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39753,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39754,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39755,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39756,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39757,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39758,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39759,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39760,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39761,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39762,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39763,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39764,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39765,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39766,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39767,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39768,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39769,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39770,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39771,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39772,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39773,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39774,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39775,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39776,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39777,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39778,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39779,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39780,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39781,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39782,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39783,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39784,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39785,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39786,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39787,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39788,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39789,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39790,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39791,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39792,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39793,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39794,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39795,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39796,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39797,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39798,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39799,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39800,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39801,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39802,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39803,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39804,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39805,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39806,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39807,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39808,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39809,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39810,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39811,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39812,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39813,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39814,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39815,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39816,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39817,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39818,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39819,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39820,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39821,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39822,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39823,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39824,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39825,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39826,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39827,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39828,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39829,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39830,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39831,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39832,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39833,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39834,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39835,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39836,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39837,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39838,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39839,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39840,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39841,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39842,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39843,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39844,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39845,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39846,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39847,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39848,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39849,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39850,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39851,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39852,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39853,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39854,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39855,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39856,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39857,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39858,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39859,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39860,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39861,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39862,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39863,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39864,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39865,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39866,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39867,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39868,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39869,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39870,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39871,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39872,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39873,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39874,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39875,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39876,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39877,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39878,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39879,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39880,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39881,"Not-foraging","Not-foraging"
